title,date,content
"El Bayern Múnich ya disfruta de un ""regalo"" de Pep Guardiola",27/09,"La temporada sigue su curso y en el caso del Bayern Múnich mañana tiene el primer test serio al medirse con el Bayer Leverkusen de Xabi Alonso, vigente campeón. Duelo de altura que debe empezar a despejar el panorama en el campeonato alemán o abrir un nuevo escenario. "
Se resuelve al fin el futuro de Denzel Dumfries,27/09, 
¡Ojo Real Madrid! Vitor Reis ya ha dado una respuesta,27/09,"Es uno de los centrales que siguen en el Real Madrid de cara al futuro. El jugador es consciente de dicho interés y no ha dudado en pronunciarse desde Brasil, de manera que ha confirmado claramente sus intenciones ante el interés merengue. "
El club en el que desea jugar Mattéo Guendouzi,27/09, 
El Liverpool sitúa a un talento alemán en su punto de mira,27/09,"Aunque actualmente se encuentra lesionado, el joven talento alemán Merlin Röhl ya ha logrado llamar la atención de Liverpool. Varios espías de los reds han viajado últimamente  a tierras germanas para seguir sus evoluciones con el Friburgo. "
Pep Guardiola explica cómo suplirá a Rodri,27/09, 
Neymar y Al Hilal | Las cifras demenciales de un fiasco XXL ,27/09,"Llegó a Arabia Saudí como auténtico fichaje estrella en verano de 2023. Sin embargo, Neymar está causando ya un buen número de molestias a Al Hilal, escuadra que invirtió una cantidad millonaria en él.  "
La Juventus aclara el futuro de Dusan Vlahovic,27/09, 
Erik ten Hag detecta el gran problema del Manchester United,27/09,"En su última comparecencia pública, el técnico del Manchester United, el neerlandés Erik ten Hag, ha puesto sobre la mesa el que considera es el principal problema que arrastra su equipo: la falta de acierto de cara a portería. "
Hansi Flick pone fecha al regreso de Frenkie de Jong,27/09, 
Ajax | La enorme cólera de Jordan Henderson con Bertrand Traoré,27/09, 
El Real Madrid ya lo sabe: Alexander Arnold  elige equipo para 2025,27/09,"Situado en la nómina de futuribles del Real Madrid en forma de posible alternativa para el lateral diestro, el internacional inglés de 25 años comienza a tener claro dónde quiere jugar en el futuro.  "
Maurizio Sarri puede volver a la Premier League,27/09, 
Una opción de 9 M€ para la medular del AC Milan,27/09,"Decidido a mejorar las prestaciones de su medular en futuras ediciones del mercado, el AC Milan ha situado en su punto de mira a Lucas Gourna-Douath. El francés, de apenas 21 años, compite en el RB Salzburgo. "
Una leyenda del Manchester United destruye al Arsenal,27/09, 
FC Barcelona | Raphinha cambia su destino,27/09,"El FC Barcelona se plantea renovar el contrato de Raphinha, futbolista que, no hace mucho, despuntaba como uno de los principales candidatos para  dar pie a un suculento traspaso. La idea de los culés es garantizar su permanencia más allá de 2027. "
"¿Sergio Ramos, rumbo a Egipto?",27/09, 
"Julián Álvarez amenaza al Real Madrid, Hansi Flick apoya a Iñaki Peña, el factor que lastra al Valencia",27/09,"Un día más, Fichajes.com te ofrece la oportunidad de repasar las portadas de los principales diarios deportivos europeos. La mejoría experimentada por Julián Álvarez o el apoyo que Hansi Flick ha mostrado a Iñaki Peña son algunos de los temas que hoy marcan la actualidad. "
El Sassuolo pone las cosas claras con Berardi,27/09, 
El FC Barcelona toma una decisión para suplir a Ter Stegen,27/09,"Si finalmente no acuerda el fichaje de Wojciech Szczesny, el FC Barcelona esperará hasta enero para reclutar un nuevo portero. El polaco es el único arquero libre que ofrece plenas garantías a Hansi Flick. "
"Ole Gunnar Solskjaer se ""ofrece"" al Manchester United",27/09, 
Real Madrid | Así está la puja por Florian Wirtz,27/09,"Insistentemente vinculado con el Real Madrid, el centrocampista alemán Florian Wirtz también se ha abierto paso en la agenda de, al menos, otros tres grandes clubes europeos. El jugador desea cambiar de aires n 2025 y su precio rondaría  los 150 M€. "
Se cierra una puerta en Italia para Mario Balotelli,27/09, 
Doble amenaza para el Inter de Milán: Inzaghi y Barella seducen en Inglaterra,27/09,"Son dos de los pilares actuales del Inter de Milán, que espera seguir construyendo un proyecto de futuro de gran nivel. Aunque como siempre hay amenazas claras, en este caso desde la Premier League inglesa. "
Real Betis | Pellegrini alude al interés en Álvaro Valles,27/09, 
El Manchester United ya cruza intereses con el Real Madrid,27/09,Las lesiones y situación general en la defensa del Real Madrid han propiciado que el cuadro blanco acumule bastantes rumores estos días. Los merengues ahora tienen enfrente a un rival importante por uno de esos centrales más cotizados. 
El equipo que ya ha contactado con Fabio Cannavaro,27/09, 
Atlético | Diego Simeone elogia a Julián Álvarez,26/09, 
La sorprendente respuesta de Rodrygo al interés de la Premier League,26/09,"Ya fue vinculado al Manchester City en el pasado mercado estival, especialmente desde la llegada de Kylian Mbappé. Rodrygo se mantiene con un rol importante en el Real Madrid pero los rumores sobre su futuro han seguido circulando. "
"Europa League | Goleadas de Ajax y Steaua, el Olympique Lyon amarga a Mendilibar",26/09, 
Europa League | El Athletic Club saca partido del conformismo de la AS Roma,26/09,"Un gol de Aitor Paredes a cinco minutos del 90 permitió al Athletic Club sumar un valioso empate en su estreno europeo ante la AS Roma. Los rojiblancos firmaron un partido bastante gris, pero supieron sacar partido de la desidia de un cuadro local que creyó que con el 1-0, obra de Artem Dobvyk, le iba a bastar para llevarse la victoria. "
Liga | Julián Álvarez y Jan Oblak rescatan al Atlético de Madrid,26/09,"El Atlético de Madrid ha visitado Balaídos esta noche en el cierre de la séptima jornada de Liga. Un partido donde Jan Oblak apareció para sostener a los colchoneros en sus peores momentos, pero que acababa definiendo Julián Álvarez con su segundo gol de la temporada. "
El Real Madrid encuentra un rival por Castello Lukeba,26/09,Hace apenas unos días que se paseaba por la agenda del Real Madrid donde ya estuvo el pasado verano. Castello Lukeba acapara ahora las miradas de otro grande de Europa que se ha interesado por él. 
El Real Madrid aparece en el horizonte de Marcelo,26/09, 
"El Málaga cierra un ingreso de 2,9 M€",26/09, 
¡Nuri Sahin se asoma al abismo en el Borussia Dortmund!,26/09,"Goleado por el Stuttgart la semana pasada, el Borussia Dortmund empieza a preocupar por su falta de regularidad. Además de algunas grietas y divisiones internas que ponen en jaque a un Nuri SAhin que tomaba las riendas del equipo tras la sorprendente marcha de Edin Terzic. "
Europa League | Fenerbahçe y Rangers suman sus tres primeros puntos,26/09, 
El gran dilema del Real Madrid para el mercado invernal,26/09,"La amplia plantilla del Real Madrid, que viene de ganar Liga y Champions League el pasado curso, no hacía presagiar movimientos importantes en el cuadro blanco para el siguiente curso. Pero el curso está poniendo de nuevo algunas cosas en otro orden. "
Semana clave para el futuro inmediato del Manchester United,26/09, 
UEL | Alineaciones confirmadas del AS Roma-Athletic Club,26/09, 
Segunda renovación del día en la Juventus,26/09, 
Un nuevo rayo de esperanza para el Manchester City,26/09,En el Manchester City cualquier movimiento de futuro y su actualidad viene marcada claramente por ese proceso que ha arrancado y cuyo veredicto se conocerá a comienzos del 2025. Ahora los campeones de Inglaterra han recibido una buena noticia al respecto. 
La Juventus blinda a una joya,26/09, 
James Rodríguez hace saltar todas las alarmas,26/09,"Fichaje estrella del Rayo Vallecano para esta temporada del Centenario, el colombiano apenas ha comparecido en este inicio de curso. Viene de brillar con la selección de Colombia en la Copa América y en la ventana internacional de septiembre, pero en el equipo madrileño apenas se ha recurrido a él. "
Nuevo golpe al Real Madrid con el Santiago Bernabéu,26/09, 
El Real Madrid sigue con un ojo puesto en Vinicius Junior,26/09,"En el Real Madrid la actualidad pasa por el derbi madrileño de este domingo, de manera que el cuadro blanco sigue pendiente de ver cómo suple a Kylian Mbappé en los siguientes encuentros. Mientras paralelamente crece una preocupación clara en la escuadra madridista. "
El FC Barcelona pone fecha a una decisión clave,26/09, 
La condición que Wojciech Szczesny puso al FC Barcelona,26/09,Ayer conocíamos que era el elegido para ocupar la portería del FC Barcelona durante la ausencia de Marc-André ter Stegen. Wojciech Szczesny es esperado para el lunes en el cuadro culé y ahora trasciende su conversación con Robert Lewandowski antes de decidir su llegada. 
Gianluigi Donnarumma elige equipo,26/09, 
El Chelsea quiere robar a Xabi Alonso una de sus joyas,26/09,"Protagonista siempre que se habla del mercado de fichajes, el Chelsea ha puesto sus ojos en Alemania. Y más concretamente, en las filas del Bayer Leverkusen, de donde quiere llevarse a una joya de futuro que apenas cuenta con 17 años.  "
Miralem Pjanic tiene nuevo destino,26/09, 
Samu Castillejo puede volver a Italia,26/09, 
El gran objetivo del Manchester City para relevar a Rodri está en España,26/09,"A la caza y captura de nuevas piezas con las que poder hacer olvidar a un Rodri lesionado de gravedad, el Manchester City tiene un buen número de nombres propios en la agenda. Ahora, la prioridad toma forma.  "
El Real Madrid se frota las manos con Nico Paz,26/09, 
"Luis Enrique, dispuesto a perder dinero para no hablar con la prensa",26/09, 
Toni Kroos casi ficha por otro equipo en 2014,26/09,El centrocampista alemán ha desvelado este importante dato que podría haber cambiado completamente su carrera profesional.  
"""Si vas al Real Madrid, tienes trofeos asegurados""",26/09, 
La sensacional batalla de 150 millones entre Real Madrid y Arsenal,26/09,"Muy atentos al mercado de fichajes en busca de nuevas piezas de nivel que les permitan mejorar sus respectivas plantillas, Real Madrid y Arsenal coinciden en el último de sus objetivos. Sin embargo, el traspaso no se antoja sencillo desde el punto de vista económico.  "
Wojciech Szczęsny tiene un plan para aterrizar en el FC Barcelona lo mejor posible,26/09, 
El nuevo Khvicha Kvaratskhelia jugará en la Premier League,26/09,"Quedan muchos meses para que se abra el próximo mercado estival. Sin embargo, los distintos conjuntos del panorama internacional ya se mueven a fin de apuntalar las que serán sus plantillas.  "
El FC Barcelona pondrá una cláusula de locura a Marc Bernal,26/09, 
Cristiano Ronaldo tiene un clon en Holanda que levanta pasiones,26/09,"Hijo del conocido Marc Van Bommel que fuera jugador de Bayern Múnich o FC Barcelona, Ruben empieza a brillar con fuerza en los inicios de su carrera futbolística. Anoche se presentaba ante la sociedad europea con una magnífica actuación. "
El Leicester puede dar un cambio radical a su proyecto,26/09, 
"Sergio Ramos, cerca de encontrar un nuevo equipo",26/09,"Actualmente sin equipo después de defender los colores del Sevilla durante el pasado curso, el central de 38 años Sergio Ramos está muy cerca de encontrar un nuevo equipo en el que continuar su carrera profesional.  "
Real Madrid | Eduardo Camavinga da una buena noticia,26/09, 
"El siguiente objetivo de Kylian Mbappé, nuevo fichaje para el FC Barcelona",26/09,"Un día más, Fichajes.com te ofrece la oportunidad de repasar las portadas de los principales diarios deportivos europeos. La lesión de Kylian Mbappé y el nuevo fichaje del FC Barcelona centran las miradas de los grandes medios en las últimas horas.  "
La razón que llevó a Scott McTominay al Nápoles ,26/09, 
El Real Madrid espera el siguiente paso de Jude Bellingham ,26/09,"Estuvo varios encuentros fuera por una lesión, algo normal en muchos jugadores con temporadas tan cargadas. Y entre eso y las dudas en el arranque del Real Madrid, todavía no ha terminado de encontrar su rol definitivo. "
Los detalles del nuevo contrato que espera a Mike Maignan ,26/09, 
El Manchester United no tira la toalla por un artillero de 75 M€,26/09,"Consciente de la necesidad de dar un salto competitivo para aspirar a cotas elevadas, el Manchester United está decidido a dar un nuevo golpe de efecto en el mercado. Es por ello que este grande de la Premier League estudia tirar de talonario para hacerse con un codiciado ariete. "
La Juventus se arriesga a perder a un zaguero en invierno,26/09, 
Un tremendo obstáculo para la Juventus con Dusan Vlahovic,26/09,"La Juventus de Turín tiene la intención de convertir a Dusan Vlahovic en una de las piedras angulares de su proyecto. Sin embargo, en la Premier League continúan sintiendo fascinación por un delantero que permanece ligado a los bianconeri hasta junio de 2026. "
Manchester United | Erik ten Hag declinó una opción para el ataque,26/09, 
"Hansi Flick: ""Necesitamos un portero, estamos en ello""",25/09, 
Tres grandes de la Premier cruzan intereses con el Real Madrid,25/09,"Siempre atento a nuevas oportunidades para fortalecer su plantilla, el Real Madrid, por recomendación de Juni Calafat, está monitorizando las actuaciones de un versátil futbolista. Eso sí, es un jugador que está haciendo las delicias de tres escuadras de la Premier League. "
"Al descubierto, otro admirador de Jonathan David en la Premier",25/09, 
Renovación confirmada en el Elche,25/09, 
Europa League | Festival ofensivo de la Lazio; el MU no remonta el vuelo,25/09,"En este formato novedoso de la Europa League, vamos a ir resumiendo en este caso lo que ha acontecido en otros estadios del Viejo Continente. Todo ello porque hemos tenido esta noche partidos importantes que se han ido jugando en varios escenarios. "
Europa League | La Real Sociedad se queda a mitad de camino en Niza,25/09,"Partido muy serio de la Real Sociedad, especialmente a lo largo de un primer acto donde tomaría la delantera merced a una diana de muy bella factura de Ander Barrenetxea. El Niza mejoraría su imagen a partir del zarpazo de Pablo Rosario, mientras que Álex Remiro sería clave para los donostiarras al detener un penalti. "
Liga | Robert Lewandowski hace bueno el plan de Hansi Flick,25/09,"En el séptimo encuentro de Liga de la temporada, el FC Barcelona recibía al Getafe con un ojo en la portería y otro en los siguientes compromisos. "
Dos clubes quieren sacar a Callum Wilson del Newcastle United,25/09, 
Roberto De Zerbi se marca un objetivo en el Chelsea,25/09,"Roberto De Zerbi está mostrando desde el principio su impacto en un Olympique de Marsella que aspira a derrocar al Paris Saint-Germain del trono de la Ligue 1. En clave de mercado, el técnico transalpino estaría pendiente de la encrucijada de un futbolista del Chelsea. "
Athletic Club | El guiño de Iñaki Williams para su hermano Nico,25/09, 
"Jamal Musiala, un fichaje estelar que se complica para el Real Madrid",25/09,"La continuidad a largo plazo de Jamal Musiala, su estrella emergente, es un asunto de máxima prioridad en el seno del Bayern Múnich. Por tanto, los bávaros han pasado a la acción para blindar a un futbolista que está en el punto de mira de Manchester City y Real Madrid. "
Europa League | El Bodo/Glimt cabalga a lomos de Jens Petter Hauge,25/09, 
Europa League | Ruben Van Bommel impulsa al AZ Alkmaar,25/09, 
