description,date,sentiment
Barcelona 2-0 Cadiz: Pedri and Ferran Torres strike late in the second half as Xavi's champions begin life awa  Daily Mail,"(20, 8, 2023)",POSITIVE
Barcelona vs Cádiz Player Ratings from a 2-0 win  Everything Barca,"(21, 8, 2023)",POSITIVE
FIFA 23: 10 Best Left Wingers With Highest Potential To Sign In Career Mode  TheGamer,"(19, 8, 2023)",POSITIVE
Barcelona 2-0 Cadiz: Player ratings as late Pedri & Torres strikes spare Barca blushes  90min UK,"(20, 8, 2023)",NEGATIVE
"Barcelona 2-0 Cádiz: summary, score, goals, highlights, LaLiga 23/24  AS USA","(20, 8, 2023)",POSITIVE
"FC Barcelona Coach Xavi Praises Gundogan, Yamal After Cadiz Win But Laments Lack Of Effectiveness  Forbes","(20, 8, 2023)",NEGATIVE
Xavi's clear hint to Ferran Torres and Ansu Fati with the commitment to Lamine  FC Barcelona Noticias,"(20, 8, 2023)",POSITIVE
Barcelona vs Cadiz live: Pedri and Ferrarn hit late goals to sink Cadiz despite Xavi suspension  Eurosport COM,"(20, 8, 2023)",NEGATIVE
Ferran Torres: The ‘humbling process’ behind Barcelona forward’s impressive form - The Athletic  The New York Times,"(27, 8, 2023)",POSITIVE
Ferran Torres scores in second straight game  Playing for 90,"(27, 8, 2023)",POSITIVE
Ferran Torres is straight into his stride  FC Barcelona,"(28, 8, 2023)",POSITIVE
Starting position against Villarreal? Ferran Torres asks for a step at Barça  FC Barcelona Noticias,"(25, 8, 2023)",NEGATIVE
Why Ferran Torres has been nicknamed ‘The Shark’ at Barcelona explained  Barca Blaugranes,"(29, 8, 2023)",NEGATIVE
Ferran Torres speaks after thrilling Villarreal comeback: “I’m working very well”  Barca Universal,"(27, 8, 2023)",POSITIVE
FC Barcelona Put €30 Million Price Tag On Tricky Winger: Reports  Forbes,"(26, 8, 2023)",NEGATIVE
Barcelona open to offers for Ansu Fati plus Xavi's plans for Ferran Torres  90min UK,"(29, 8, 2023)",POSITIVE
Wonder-sub Ferran Torres tops Barca '23-24 scorers  BeSoccer EN,"(28, 8, 2023)",POSITIVE
Chelsea put Man City on notice with £110m transfer plan as major Barcelona exit hint dropped  Football.London,"(28, 8, 2023)",NEGATIVE
Chelsea are weighing up a move for Arsenal's Emile Smith Rowe before Friday's transfer deadline - with Barcelo  Daily Mail,"(28, 8, 2023)",POSITIVE
Barça makes it clear that it sees Ferran Torres as the 'new Villa'  FC Barcelona Noticias,"(28, 8, 2023)",POSITIVE
Barcelona’s Ferran Torres: The hard work is paying off!  Barca Blaugranes,"(28, 8, 2023)",POSITIVE
FC Barcelona Vs. Villarreal Result: MVP Lamine Yamal Leads Comeback In Seven-Goal Thriller  Forbes,"(27, 8, 2023)",POSITIVE
Barcelona coaching staff ‘delighted’ with 23-year-old forward – report  Barca Universal,"(23, 8, 2023)",POSITIVE
Why Ferran Torres has been nicknamed ‘The Shark’ at Barcelona explained  Barca Blaugranes,"(29, 8, 2023)",NEGATIVE
10 things you might not know about João Cancelo  FC Barcelona,"(1, 9, 2023)",POSITIVE
Barcelona open to offers for Ansu Fati plus Xavi's plans for Ferran Torres  90min UK,"(29, 8, 2023)",POSITIVE
"Raphinha or Lamine Yamal? Xavi, with plenty of options for the right winger  FC Barcelona Noticias","(29, 8, 2023)",NEGATIVE
Robert Lewandowski hits out at Xavi's Barcelona tactics declaring 'we don't play with enough attacking players  Daily Mail,"(29, 8, 2023)",POSITIVE
"Lewandowski's message to Xavi: Sometimes I lack support, we don't play with enough attacking players  Marca English","(30, 8, 2023)",NEGATIVE
"Official: Lamine Yamal called up to Spain national team, no place for Ferran Torres  Barca Universal","(1, 9, 2023)",NEGATIVE
REPORT: Chelsea Interested In Transfer For Ex-Premier League Barcelona Pair  Chelsea News,"(29, 8, 2023)",NEGATIVE
Football transfer rumours: Chelsea to land Arsenal’s Emile Smith Rowe?  The Guardian,"(29, 8, 2023)",NEGATIVE
Chelsea confident of signing Man City starlet Cole Palmer as £40million fee agreed...  talkSPORT,"(30, 8, 2023)",POSITIVE
"“Trying to steal my girl, eh?” – Chelsea star Mykhailo Mudryk challenged by TikTok creator for liking his girlfriend’s picture  Sportskeeda","(29, 8, 2023)",NEGATIVE
Barcelona forward could be suspended for three games after red card vs Atletico  Barca Universal,"(1, 9, 2023)",NEGATIVE
Robert Lewandowski hints at frustration over Barcelona tactics  90min UK,"(29, 8, 2023)",NEGATIVE
Smith Rowe V Raphinha V Torres: Who Would Be The Better Signing For Chelsea? We Take A Look At The Numbers  Chelsea News,"(29, 8, 2023)",NEGATIVE
Four Barcelona players continue to train together on day off – report  Barca News Network,"(30, 8, 2023)",POSITIVE
"Ferran Torres: “Valencia is the club I love the most""  MUNDO DEPORTIVO","(5, 9, 2023)",POSITIVE
Ferran Torres has more than a week to win over Xavi  FC Barcelona Noticias,"(5, 9, 2023)",POSITIVE
"Official: Ferran Torres is Barcelona’s new No. 7, Raphinha gets No. 11  Barca Universal","(8, 9, 2023)",POSITIVE
"Spain 7-1 Georgia (Sep 8, 2023) Game Analysis  ESPN","(8, 9, 2023)",POSITIVE
10 things you might not know about João Cancelo  FC Barcelona,"(1, 9, 2023)",POSITIVE
Barcelona starlet Lamine Yamal gets first Spain call-up  Barca Blaugranes,"(2, 9, 2023)",POSITIVE
Lewandowski's late penalty rescues Barca from Osasuna deadlock | Daily Sabah  Daily Sabah,"(4, 9, 2023)",POSITIVE
Barcelona's 10 Most Expensive Signings: Navigating Hits and Misses  Sportskeeda,"(6, 9, 2023)",NEGATIVE
"Official: Lamine Yamal called up to Spain national team, no place for Ferran Torres  Barca Universal","(1, 9, 2023)",NEGATIVE
Fati to Brighton shocked us all but this sensible transfer is perfect for the wonderkid (and Barcelona)  Football365,"(7, 9, 2023)",POSITIVE
The newest American star in Europe?! 17-year-old USYNT sensation Adrian Simon Gill posts on social media that he is training with the FC Barcelona first-team  Goal.com,"(7, 9, 2023)",NEGATIVE
"Balde, Gavi, Cancelo... This is how Barça's numbers have been in 2023/24  FC Barcelona Noticias","(3, 9, 2023)",NEGATIVE
"Osasuna vs Barcelona, La Liga: TV & Streaming, Live Thread  Barca Blaugranes","(3, 9, 2023)",POSITIVE
Happy at last! Joao Cancelo and Joao Felix pictured enjoying a joke in training as fresh start begins at Barcelona  Goal.com,"(3, 9, 2023)",POSITIVE
Barcelona forward could be suspended for three games after red card vs Atletico  Barca Universal,"(1, 9, 2023)",NEGATIVE
Ferran Torres called up for Spain  FC Barcelona,"(9, 9, 2023)",POSITIVE
In 'killer' mode! Ferran Torres' impressive scoring average in 23/24  FC Barcelona Noticias,"(14, 9, 2023)",POSITIVE
"Ferran Torres, Pino called up for Spain's Euro qualifier vs. Cyprus  theScore","(9, 9, 2023)",POSITIVE
"Torres, Pino replace injured Asensio and Olmo in Spain's Euro qualifiers squad  Reuters","(10, 9, 2023)",POSITIVE
Ferran Torres ‘needs more confidence’ to reach his top level - Spain boss Luis de la Fuente  Barca Blaugranes,"(12, 9, 2023)",NEGATIVE
Ferran Torres set to be called up by Spain to replace Olmo and Asensio  BeSoccer EN,"(9, 9, 2023)",POSITIVE
One more culé! Ferran Torres returns to the 'La Roja' squad  FC Barcelona Noticias,"(9, 9, 2023)",NEGATIVE
Ferran Torres gets Spain call-up after injuries to Dani Olmo and Marco Asensio  Barca Blaugranes,"(9, 9, 2023)",POSITIVE
Ferran Torres insists on changing his role in Xavi's Barça  FC Barcelona Noticias,"(13, 9, 2023)",NEGATIVE
"FC Barcelona News: 10 September 2023; Ferran Torres called by by Spain, Molina interest revealed  Barca Blaugranes","(10, 9, 2023)",NEGATIVE
"Ferran Torres, starter? The 'Shark' will have a golden opportunity against Betis  FC Barcelona Noticias","(11, 9, 2023)",POSITIVE
"FC Barcelona News: 12 September 2023; Ferran Torres ready for new chance with Spain, João Félix scores for Portugal  Barca Blaugranes","(12, 9, 2023)",POSITIVE
Dream comeback! Ferran Torres extended his streak at Barça with Spain  FC Barcelona Noticias,"(12, 9, 2023)",POSITIVE
"FC Barcelona News: 13 September 2023; Preparations begin for Real Betis, Ferran Torres scores for Spain  Barca Blaugranes","(13, 9, 2023)",POSITIVE
The 'Ferran Torres' method to be the young 'crack' who signed Barça  FC Barcelona Noticias,"(13, 9, 2023)",POSITIVE
"Ferran Torres, the person in charge of 'welcoming' Joao Félix and Cancelo at Barça  FC Barcelona Noticias","(17, 9, 2023)",POSITIVE
FC Barcelona: Entertainers again at last - The Athletic  The New York Times,"(17, 9, 2023)",POSITIVE
Ferran Torres make surprise confession after scoring free-kick for Barcelona  Barca Blaugranes,"(17, 9, 2023)",POSITIVE
Shark attack: Ferran Torres continues his incredible form for Barcelona  Barca Universal,"(17, 9, 2023)",POSITIVE
Ferran Torres’ key role in welcoming Joao Felix and Joao Cancelo to Barcelona  Football Espana,"(17, 9, 2023)",POSITIVE
FC Barcelona Vs. Royal Antwerp Preview: Xavi Makes Two Big Changes For Champions League Debut  Forbes,"(19, 9, 2023)",POSITIVE
Félix relishing fresh start at Barca after 1st goal  ESPN,"(16, 9, 2023)",POSITIVE
Ferran Torres became the first player since Messi to score for Barça from a free kick  DailySports,"(16, 9, 2023)",POSITIVE
3 things we learned from FC Barcelona’s 5-0 victory over Royal Antwerp  Everything Barca,"(19, 9, 2023)",POSITIVE
Watch: Torres 1st player to score direct free-kick for Barcelona since Messi  Hindustan Times,"(17, 9, 2023)",POSITIVE
Barcelona vs Real Betis LIVE! Joao Felix shines in Barca blitz  Eurosport COM,"(16, 9, 2023)",POSITIVE
Is Ilkay Gündogan fit to play for Barcelona this weekend?  AS USA,"(15, 9, 2023)",NEGATIVE
FC Barcelona 5-0 Real Betis Balompié: Five star show by Barça  FC Barcelona,"(16, 9, 2023)",POSITIVE
"Balde, Ferran Torres, Gavi... The nine players 'shielded' by Barça  FC Barcelona Noticias","(20, 9, 2023)",NEGATIVE
FC Barcelona - Royal Antwerp FC preview: no excuses for a thrilling season  VAVEL.com,"(18, 9, 2023)",NEGATIVE
FC Barcelona Vs. RCD Mallorca Preview: Xavi Makes Four Big Lineup Changes  Forbes,"(26, 9, 2023)",POSITIVE
Sergio Ramos scores own goal to gift Barcelona 1-0 win over Sevilla in Spanish league  EL PAÍS USA,"(29, 9, 2023)",POSITIVE
POLL: Who should be the starting forward of FC Barcelona?  FC Barcelona Noticias,"(27, 9, 2023)",NEGATIVE
Barcelona 3-2 Celta Vigo LIVE: Goals and highlights - LaLiga 23/24  Marca English,"(23, 9, 2023)",POSITIVE
"Barcelona vs Sevilla summary: score, goals, highlights | LaLiga  AS USA","(29, 9, 2023)",POSITIVE
"Ferran, Yamal start in a 4-3-3: How Barcelona could lineup against Celta Vigo  Barca Universal","(22, 9, 2023)",POSITIVE
Barcelona 3-2 Celta Vigo: Player ratings as three late goals snatch shock win  90min UK,"(23, 9, 2023)",POSITIVE
"Gavi, Ferran, Koundé… Barça's 1x1 in the epic comeback against Celta  FC Barcelona Noticias","(23, 9, 2023)",POSITIVE
Best players for Founders Evolution in EA Sports FC 24  PC Invasion,"(26, 9, 2023)",POSITIVE
Ferran Torres wins integers in Xavi's Barça  FC Barcelona Noticias,"(30, 9, 2023)",POSITIVE
Sergio Ramos scores own goal to gift Barcelona 1-0 win over Sevilla in Spanish league  EL PAÍS USA,"(29, 9, 2023)",POSITIVE
"Barcelona vs Sevilla summary: score, goals, highlights | LaLiga  AS USA","(29, 9, 2023)",POSITIVE
23-year-old Barcelona forward a strong candidate to start against FC Porto  Barca Universal,"(30, 9, 2023)",POSITIVE
FC Barcelona winger out injured for a month  Everything Barca,"(30, 9, 2023)",NEGATIVE
FC Barcelona 1-0 Sevilla: Poetic justice  FC Barcelona,"(29, 9, 2023)",POSITIVE
Barcelona 1-0 Sevilla - Lamine Yamal shines as Xavi's side beat Sevilla after Sergio Ramos own goal in La Liga clash  Eurosport COM,"(29, 9, 2023)",POSITIVE
LaLiga | Sergio Ramos scores own goal to gift Barcelona 1-0 win over Sevilla in Spanish league  The Hindu,"(30, 9, 2023)",POSITIVE
Barcelona player ratings vs Sevilla: Electric Lamine Yamal makes the difference as Sergio Ramos own goal hands the Blaugrana three points  Goal.com,"(30, 9, 2023)",POSITIVE
"Ferran Torres, facing his great opportunity at Barça  FC Barcelona Noticias","(7, 10, 2023)",POSITIVE
"Porto vs Barcelona summary: Ferran winner, score, goal and highlights | Champions League 2023/24  AS USA","(4, 10, 2023)",POSITIVE
"Barcelona’s Ferran Torres has earned Spain call-up, says Luis de la Fuente  Barca Blaugranes","(6, 10, 2023)",POSITIVE
"Round-up: Newcastle United’s historic hammering of PSG, Ferran Torres secures win for Barcelona in Porto  Eurosport COM","(5, 10, 2023)",POSITIVE
Ferran Torres replaces the injured Lewandowski and fires Barcelona to victory in Porto  Marca English,"(4, 10, 2023)",POSITIVE
Ferran Torres scores only goal as Barcelona edge past Porto  sportsmax.tv,"(4, 10, 2023)",NEGATIVE
Barcelona player ratings vs Granada: Ferran Torres falls flat as Robert Lewandowski replacement but record-breaker Lamine Yamal sparks comeback  Goal.com,"(8, 10, 2023)",NEGATIVE
Porto 0-1 Barcelona: Ferran Torres' goal makes it two Champions League group wins from two for Xavi's side aft  Daily Mail,"(4, 10, 2023)",POSITIVE
"Despite Lewandowski’s injury, Barça beat Porto  Agencia EFE","(5, 10, 2023)",POSITIVE
"Predicted Barcelona lineup against Granada: Torres, Fermin Lopez to start; Lewandowski out  The Hard Tackle","(8, 10, 2023)",POSITIVE
FC Porto 0-1 FC Barcelona: Vital victory  FC Barcelona,"(4, 10, 2023)",POSITIVE
Lamine Yamal and Ferran Torres will compete for a place in the Barça forward line  FC Barcelona Noticias,"(3, 10, 2023)",POSITIVE
FC Porto 0-1 Barcelona: Ferran Torres seals victory for away side  BBC,"(4, 10, 2023)",POSITIVE
Granada 2-2 Barcelona - Xavi's side rescue point with dramatic late equaliser in La Liga encounter  Eurosport COM,"(8, 10, 2023)",POSITIVE
Barcelona match-winner Ferran Torres speaks out after Champions League win over Porto  Barca Blaugranes,"(5, 10, 2023)",POSITIVE
"Revealed: Barcelona owe over €200m in transfer fees to the likes of Leeds, Man City & Bayern for players such as Raphinha, Ferran Torres & Robert Lewandowski  Goal.com","(10, 10, 2023)",POSITIVE
Ferran Torres explains why he’s called The Shark at Barcelona  Barca Blaugranes,"(11, 10, 2023)",NEGATIVE
Ferran Torres explains how he has been reborn at FC Barcelona  FC Barcelona Noticias,"(10, 10, 2023)",POSITIVE
Ferran Torres on his nickname ‘The Shark’: “It is the mentality that I have always had”  Barca Universal,"(10, 10, 2023)",POSITIVE
Granada 2-2 Barcelona - Xavi's side rescue point with dramatic late equaliser in La Liga encounter  Eurosport COM,"(8, 10, 2023)",POSITIVE
Barcelona owe €207 million for past signings – Including Raphinha  Everything Barca,"(10, 10, 2023)",NEGATIVE
"Predicted Barcelona lineup against Granada: Torres, Fermin Lopez to start; Lewandowski out  The Hard Tackle","(8, 10, 2023)",POSITIVE
"The perfect bite of the shark, Ferran  rfef.es","(11, 10, 2023)",POSITIVE
"Norway vs. Spain odds, line, start time: 2024 Euro Qualifying picks, Oct. 15 predictions from proven expert  CBS Sports","(14, 10, 2023)",POSITIVE
"Controversy reigns over Barcelona’s disallowed goal against Granada, report uses Real Madrid strike to highlight lack of consistency  Football Espana","(9, 10, 2023)",NEGATIVE
Ferran opens up about his continuity at Barça and his relationship with Lewandowski  FC Barcelona Noticias,"(10, 10, 2023)",POSITIVE
Barcelona ace Joao Felix 'likes' social media post criticizing decision to rule out his late goal against Granada  Goal.com,"(10, 10, 2023)",NEGATIVE
"Gavi, Balde, Ferran... The 1x1 of the culés in Spain's victory against Scotland  FC Barcelona Noticias","(12, 10, 2023)",POSITIVE
Barcelona player ratings vs Granada: Ferran Torres falls flat as Robert Lewandowski replacement but record-breaker Lamine Yamal sparks comeback  Goal.com,"(8, 10, 2023)",NEGATIVE
"Ferran Torres puts Pedri above De Bruyne, Rodri or Bernardo Silva  FC Barcelona Noticias","(11, 10, 2023)",POSITIVE
Ferran Torres highlights his confidence to recover his best level  FC Barcelona Noticias,"(17, 10, 2023)",POSITIVE
Barcelona’s Ferran Torres explains his ‘shark’ nickname: “Last season was tough”  Barca Universal,"(17, 10, 2023)",NEGATIVE
Ferran Torres and Gavi return to Barcelona training  Barca Blaugranes,"(18, 10, 2023)",POSITIVE
International week as it happened  FC Barcelona,"(18, 10, 2023)",POSITIVE
Gavi goal against Norway sees Spain and Scotland qualify for European Championship  The Seattle Times,"(15, 10, 2023)",POSITIVE
"Barcelona loanee Eric Garcia talks Xavi, Cancelo, Ferran Torres, Pablo Torre, Girona move  Barca Universal","(18, 10, 2023)",POSITIVE
"Gavi and Ferran Torres, news in the Barça training session  FC Barcelona Noticias","(17, 10, 2023)",POSITIVE
Barcelona 1-0 Athletic Club: Goals and highlights - LaLiga EA Sports 23/24  Marca English,"(22, 10, 2023)",POSITIVE
Spain and Fabian Ruiz qualified for Euro 2024!  Paris Saint-Germain,"(16, 10, 2023)",POSITIVE
Spain beats Norway to reach Euro 2024 with Scotland  The New Indian Express,"(16, 10, 2023)",POSITIVE
Barcelona 1-0 Athletic Club: Player ratings as Marc Guiu's debut goal earns win  90min UK,"(22, 10, 2023)",POSITIVE
Barcelona v Athletic - as it happened  BeSoccer EN,"(22, 10, 2023)",NEGATIVE
Spain beat Norway to reach Euro 2024 with Scotland  Khmer Times,"(17, 10, 2023)",POSITIVE
Barcelona 1-0 Athletic Bilbao: Teenager Marc Guiu scores only goal on senior debut  BBC,"(22, 10, 2023)",NEGATIVE
Joao Félix's next challenge at FC Barcelona  FC Barcelona Noticias,"(20, 10, 2023)",POSITIVE
Ferran Torres: 'It's about now not the future'  FC Barcelona,"(24, 10, 2023)",NEGATIVE
"Barcelona 2-1 Shakhtar (Oct 25, 2023) Game Analysis  ESPN","(25, 10, 2023)",POSITIVE
The 'Shark' is back: Ferran Torres scored his 5th goal of the season  FC Barcelona Noticias,"(25, 10, 2023)",POSITIVE
Barcelona 2-1 Shakhtar Donetsk: Ferran Torres stars in Champions League victory  BBC.com,"(25, 10, 2023)",POSITIVE
PHOTO. Ferran Torres dedicated his Champions League goal to his grandmother  DailySports,"(25, 10, 2023)",POSITIVE
‘Old man’ Ferran Torres ready to step up for Barcelona ahead of crunch games  Barca Blaugranes,"(24, 10, 2023)",POSITIVE
"Ferran Torres talks Pedri, Xavi, Guiu, 'shark' mentality ahead of Barcelona vs Shakhtar Donetsk  Barca Universal","(24, 10, 2023)",POSITIVE
European roundup: Kylian Mbappé inspires PSG to victory over Milan  The Guardian,"(25, 10, 2023)",POSITIVE
"Ex-City star signed in 'moment of desperation' slammed amid Arsenal, Villa links - 'absolute disaster'  Football365","(24, 10, 2023)",NEGATIVE
Bellingham brace helps Madrid grab El Clasico comeback win  World Soccer Talk,"(28, 10, 2023)",POSITIVE
Barcelona 2-1 Shakhtar Donetsk: Ferran Torres and Fermin Lopez's first-half goals see Spanish giants win third  Daily Mail,"(25, 10, 2023)",POSITIVE
Ferran Torres and Fermin Lopez deal in goals as Barcelona smack Shakhtar Donetsk 2-1  The Times of India,"(26, 10, 2023)",POSITIVE
Ferran Torres gets 'wet' about Marc Guiu and the 'pressure' that exists at Barça  FC Barcelona Noticias,"(24, 10, 2023)",NEGATIVE
"Barcelona 2-1 Shakhtar (Oct 25, 2023) Final Score  ESPN","(25, 10, 2023)",POSITIVE
FC Barcelona 2-1 Shakhtar Donetsk: A giant leap forward  FC Barcelona,"(25, 10, 2023)",POSITIVE
5 Barcelona players who came out of El Clasico with credit and 3 who did not  Football Espana,"(30, 10, 2023)",POSITIVE
Bellingham brace earns Real Madrid Clasico win  Borneo Bulletin,"(30, 10, 2023)",POSITIVE
Barcelona 1-2 Real Madrid: Jude Bellingham strikes twice to give Real dramatic comeback El Clasico win  Eurosport COM,"(29, 10, 2023)",POSITIVE
Raphinha will claim his place as a starter on the right wing for Barça  FC Barcelona Noticias,"(31, 10, 2023)",POSITIVE
Barcelona player ratings vs Real Madrid: Ilkay Gundogan stars but Jude Bellingham breaks Blaugrana hearts with late winner  Goal.com,"(29, 10, 2023)",POSITIVE
Bellingham at double as Real Madrid make smash and grab in Clasico  Daily Finland,"(29, 10, 2023)",POSITIVE
Three key Barcelona players have started to underperform – report  Barca News Network,"(30, 10, 2023)",NEGATIVE
Barcelona 1-2 Real Madrid: Four substitutions that changed the outcome of El Clasico – Opinion  Barca News Network,"(29, 10, 2023)",NEGATIVE
Opinion: Ansu Fati or Ez Abde? Who should FC Barcelona choose  Barca News Network,"(1, 11, 2023)",NEGATIVE
"Shakhtar Donetsk vs Barcelona final score, result and highlights as Sikan checks Barca's qualification hopes  Sporting News","(7, 11, 2023)",POSITIVE
From Araújo to Balde: The five biggest 'bullets' of FC Barcelona  FC Barcelona Noticias,"(3, 11, 2023)",POSITIVE
Real Sociedad 0-1 Barcelona: Robbery in the Basque Country as Ronald Araujo snatches victory for visitors  Eurosport COM,"(4, 11, 2023)",POSITIVE
GPS data reveals the five fastest players at Barcelona  Barca Universal,"(2, 11, 2023)",POSITIVE
WATCH: What the note given to Barcelona defender Inigo Martinez against Real Sociedad had written on it  Football Espana,"(6, 11, 2023)",POSITIVE
Shakhtar Donetsk vs Barcelona Prediction and Betting Tips  MrFixItsTips,"(6, 11, 2023)",NEGATIVE
Key Games for FC Barcelona and Atletico Madrid with Knockout Spots at Stake in UEFA Champions League  LatestLY,"(7, 11, 2023)",POSITIVE
Xavi to rest Barcelona star forward in clash against Shakhtar – report  Barca News Network,"(6, 11, 2023)",POSITIVE
"FC Barcelona transfer news 2023: Gundogan official! Inigo to sign, Vitor Roque agreement  TechnoSports Media Group","(7, 11, 2023)",POSITIVE
Ferran Torres does not have any injuries and will be able to play for Spain  FC Barcelona Noticias,"(15, 11, 2023)",POSITIVE
‘Non-stop!’ - Ferran Torres hits the gym after Barcelona’s win over Alaves  Barca Blaugranes,"(13, 11, 2023)",POSITIVE
200th goal under Xavi  FC Barcelona,"(12, 11, 2023)",POSITIVE
'Touch' or caution? Ferran Torres does not train with 'La Roja'  FC Barcelona Noticias,"(13, 11, 2023)",NEGATIVE
Barcelona forward confident Xavi will reward him for impressive early-season form  Barca Universal,"(9, 11, 2023)",POSITIVE
Lewandowski double saves Barcelona at home vs Alaves  Agencia EFE,"(12, 11, 2023)",POSITIVE
Leverkusen's Grimaldo among new faces in Spain squad  theScore,"(10, 11, 2023)",POSITIVE
Barcelona 2-1 Deportivo Alaves - Robert Lewandowski brace gives Barca comeback La Liga win over Deportivo Alaves  Eurosport COM,"(12, 11, 2023)",POSITIVE
Spain announce squad for November international break  Khel Now,"(11, 11, 2023)",POSITIVE
The £442million Man City have made from selling academy graduates under Pep Guardiola  Planet Football,"(12, 11, 2023)",POSITIVE
Are Barcelona’s wingers holding the team back?  Barca Blaugranes,"(15, 11, 2023)",NEGATIVE
Ferran and Lewandowski are left out of the top 10 of the best goalscoring duos in Europe  FC Barcelona Noticias,"(9, 11, 2023)",NEGATIVE
FC Barcelona players called up for international duty  FC Barcelona,"(10, 11, 2023)",POSITIVE
Xavi has not lost sight of 19-year-old Barcelona attacking prospect – report  Barca Universal,"(9, 11, 2023)",POSITIVE
"Iñigo, Gavi, Ferran and Lamine: The Barça will go back to reinforce to Spain  FC Barcelona Noticias","(10, 11, 2023)",NEGATIVE
