description,date,sentiment
"Kaiser strike begins as 68,000 employees stage walkout at California hospitals  CalMatters","(4, 10, 2023)",NEGATIVE
Did Newsom dig a new hole by appointing Laphonza Butler to the Senate?  CalMatters,"(3, 10, 2023)",NEGATIVE
Football Manager 2023: Best Wonderkids You Can Buy For Cheap  Cultured Vultures,"(1, 10, 2023)",POSITIVE
"Hastings man facing charges after attempting to burglarize apartment, being shot with BB gun  NTV","(12, 10, 2023)",NEGATIVE
"Hastings man shot with BB gun while attempting apartment break-in, police say  KSNB","(11, 10, 2023)",NEGATIVE
Economic uncertainty prompts more Newsom vetoes as California tax deadline nears  CalMatters,"(10, 10, 2023)",NEGATIVE
Arsenal ready €40 million offer for former Real Madrid player  The Real Champs,"(12, 10, 2023)",POSITIVE
Newsom Vetoes Caste Discrimination Bill | First Fentanyl Murder Sentencing in CA | Faith J. McKinnie Gallery  Capital Public Radio News,"(11, 10, 2023)",NEGATIVE
Miguel Angel Lopez leads Cuban volleyball team to Pan American Games in Chile  Radio Rebelde,"(10, 10, 2023)",POSITIVE
Arsenal Sets Sights on Girona’s Rising Star For Defensive Depth.  Ghanasoccernet.com,"(9, 10, 2023)",POSITIVE
Former county clerk feels ‘honored’ to have served community  Las Vegas Optic,"(19, 10, 2023)",POSITIVE
"‘Back of the line again’: California’s broadband plan deprioritized underserved regions, advocates say  CalMatters","(19, 10, 2023)",NEGATIVE
"In trying to close its coal power plant, Austin encounters obstacles to going green  The Texas Tribune","(16, 10, 2023)",NEGATIVE
"With I-35 expansion, Austin gem Nature’s Treasures is being forced to move  Austin Monitor","(19, 10, 2023)",NEGATIVE
Kaiser walkout leads to ‘historic’ deal  Santa Cruz Sentinel,"(21, 10, 2023)",NEGATIVE
Míchel – Girona – Tactical Analysis  The MastermindSite,"(15, 10, 2023)",POSITIVE
"Bashing Republicans for ‘rights regression,’ Newsom sidesteps protections for marginalized Californians  CalMatters","(16, 10, 2023)",NEGATIVE
Tag: Paulo Gazzaniga  The MastermindSite,"(15, 10, 2023)",POSITIVE
Tag: Aleix Garcia  The MastermindSite,"(15, 10, 2023)",POSITIVE
California’s budget whiplash showed the pitfalls of forecasting revenue  CalMatters,"(25, 10, 2023)",NEGATIVE
Venezuelans back candidate to challenge Maduro — if she’s allowed  The Washington Post,"(23, 10, 2023)",NEGATIVE
Maria Corina Machado Wins Venezuelan Opposition Primary  Havana Times,"(24, 10, 2023)",POSITIVE
Girona's improbable La Liga run continues with win over Celta Vigo  theScore,"(27, 10, 2023)",POSITIVE
Venezuelan government intervenes prison with largest population  Agencia EFE,"(25, 10, 2023)",NEGATIVE
"Gavin Newsom requires diversity reporting, but not for himself  CalMatters","(27, 10, 2023)",NEGATIVE
Public-private collaboration is essential in the face of the growing importance of cybersecurity  Atalayar EN,"(26, 10, 2023)",POSITIVE
Machado’s detractors on attack after Venezuelan primaries victory  Agencia EFE,"(24, 10, 2023)",NEGATIVE
California’s economic outlook worsens as Newsom travels overseas  CalMatters,"(24, 10, 2023)",NEGATIVE
Where are the top U.S. Senate candidates raising their cash?  CalMatters,"(1, 11, 2023)",NEGATIVE
"49 percent of Texans support school vouchers for low-income parents, Houston survey says  Houston Public Media","(1, 11, 2023)",NEGATIVE
"Despite summonses and rulings, Venezuelan opposition ratifies validity of primaries  Agencia EFE","(1, 11, 2023)",POSITIVE
Venezuela court suspends results of opposition’s primary election  Financial Times,"(30, 10, 2023)",NEGATIVE
Venezuela primary results suspended in latest blow directed at opposition  The Guardian,"(30, 10, 2023)",NEGATIVE
Where are the top U.S. Senate candidates raising their cash?  CalMatters,"(1, 11, 2023)",NEGATIVE
Texas comptroller announces $45M Israel bonds purchase  KXAN.com,"(2, 11, 2023)",NEGATIVE
"Despite summonses and rulings, Venezuelan opposition ratifies validity of primaries  Agencia EFE","(1, 11, 2023)",POSITIVE
Girona move top with stirring comeback against Osasuna  theScore,"(4, 11, 2023)",POSITIVE
California’s missed opportunities to curb EBT theft  CalMatters,"(8, 11, 2023)",NEGATIVE
California missed chances to stop EBT theft. It’s lost tens of millions of taxpayer dollars since  CalMatters,"(8, 11, 2023)",NEGATIVE
California’s unemployment insurance system is so poorly funded it pays 2004 wages  CalMatters,"(7, 11, 2023)",NEGATIVE
Housing alone won’t solve homelessness. California must expand its mental health system  CalMatters,"(6, 11, 2023)",NEGATIVE
"California needs to change its homelessness policies, not spend more money  CalMatters","(6, 11, 2023)",NEGATIVE
Fabrizio Romano confirms Arsenal interest in Girona star  Pain In The Arsenal,"(10, 11, 2023)",POSITIVE
What went wrong at EDD? An investigation of its managerial meltdown  CalMatters,"(12, 11, 2023)",NEGATIVE
Arsenal considering move for former Real Madrid left-back in January transfer window  Football Espana,"(10, 11, 2023)",POSITIVE
Arsenal in packed race for Girona left-back Miguel Gutierrez  Metro.co.uk,"(9, 11, 2023)",POSITIVE
Arsenal still scouting La Liga 22yo after over 2 years  Daily Cannon,"(11, 11, 2023)",NEGATIVE
California’s missed opportunities to curb EBT theft  CalMatters,"(8, 11, 2023)",NEGATIVE
California missed chances to stop EBT theft. It’s lost tens of millions of taxpayer dollars since  CalMatters,"(8, 11, 2023)",NEGATIVE
California keeps expanding school curricula. What about improving key subjects?  CalMatters,"(14, 11, 2023)",NEGATIVE
Oil companies top big year in lobbyist spending  CalMatters,"(9, 11, 2023)",NEGATIVE
"Miguel ""Michael"" Gutierrez  Nalley-Pickle & Welch Funeral Home & Crematory","(17, 11, 2023)",POSITIVE
Real Madrid still have a say in these youngsters’ futures… could they return to the Bernabeu? - The Athletic  The New York Times,"(17, 11, 2023)",POSITIVE
"Across California, eviction cases have returned to — or surpassed — pre-pandemic levels  CalMatters","(20, 11, 2023)",NEGATIVE
"California Democrats are divided on Senate race, Gaza war  CalMatters","(19, 11, 2023)",NEGATIVE
California Democrats gather to pick favorites — and party  CalMatters,"(17, 11, 2023)",POSITIVE
San Diegans hold their breath as Newsom defers to Washington D.C. on Tijuana River sewage crisis  CalMatters,"(20, 11, 2023)",POSITIVE
"For California leaders, calls for ceasefire in Gaza war grow more difficult to ignore  CalMatters","(21, 11, 2023)",NEGATIVE
Are electric bikes allowed at your college in California? Depends on where you go to school  CalMatters,"(20, 11, 2023)",NEGATIVE
California Democrats don’t endorse in U.S. Senate race  CalMatters,"(20, 11, 2023)",NEGATIVE
"Ex-Real Madrid full-back Miguel Gutierrez on potential return – ‘I’m happy at Girona, I don’t regret leaving’  Football Espana","(27, 11, 2023)",POSITIVE
California vs. Florida: What you need to know before the Newsom-DeSantis debate  CalMatters,"(29, 11, 2023)",NEGATIVE
"Across California, eviction cases have returned to — or surpassed — pre-pandemic levels  Capital Public Radio News","(22, 11, 2023)",POSITIVE
"California Democrats are divided on Senate race, Gaza war  Lake County Record-Bee","(25, 11, 2023)",NEGATIVE
Arsenal to make January move for red hot LaLiga star as Arteta aims to kill two birds with one stone  TEAMtalk,"(28, 11, 2023)",POSITIVE
€40 million Arsenal target comments on Real Madrid return  The Real Champs,"(27, 11, 2023)",NEGATIVE
What to expect at DeSantis-Newsom debate  CalMatters,"(29, 11, 2023)",NEGATIVE
Arsenal can repeat Ben White transfer trick by beating Real Madrid to La Liga star  Football.London,"(28, 11, 2023)",POSITIVE
Spanish wonderkid responds to Real Madrid links following Arsenal interest  FootballTransfers,"(27, 11, 2023)",POSITIVE
Pay for Cal State presidents has grown at nearly twice the rate as pay for lecturers  CalMatters,"(1, 12, 2023)",NEGATIVE
California vs. Florida: What you need to know before the Newsom-DeSantis debate  CalMatters,"(29, 11, 2023)",NEGATIVE
TOP TEN  Artforum,"(1, 12, 2023)",POSITIVE
Four migrants die after being thrown from speedboat near beach in Spain's Cadiz  Reuters,"(29, 11, 2023)",NEGATIVE
Venezuelan communists fear Maduro will suspend presidential election over Guyana dispute  Agencia EFE,"(29, 11, 2023)",NEGATIVE
Venezuela to hold referendum on seizing part of Guyana — and its oil  Financial Times,"(1, 12, 2023)",NEGATIVE
What to expect at DeSantis-Newsom debate  CalMatters,"(29, 11, 2023)",NEGATIVE
Key takeaways from the Newsom-DeSantis debate  CalMatters,"(1, 12, 2023)",NEGATIVE
Newsom vs. DeSantis: A real debate on the issues or just more mudslinging?  CalMatters,"(29, 11, 2023)",NEGATIVE
Boise man turns himself in for August felony hit-and-run  Idaho News,"(5, 12, 2023)",NEGATIVE
19-year-old Boise man turns self in to police on injury hit-and-run charges  KTVB.com,"(5, 12, 2023)",NEGATIVE
Pay for Cal State presidents has grown at nearly twice the rate as pay for lecturers  CalMatters,"(1, 12, 2023)",NEGATIVE
Araujo or Koundé? Xavi must decide the best way to stop Savinho and Miguel Gutiérrez  FC Barcelona Noticias,"(7, 12, 2023)",NEGATIVE
Tens of thousands still waiting as California COVID rent relief program runs low on cash  CalMatters,"(4, 12, 2023)",NEGATIVE
"Venezuelan voters back sovereignty claim over 160,000 sq. km of Guyana  EURACTIV","(4, 12, 2023)",NEGATIVE
Report Names 7 Arsenal Transfer Targets But Club May Only Have The Funds To Sign 1 In January  GoonerNews.com,"(7, 12, 2023)",NEGATIVE
EDD changes unemployment contractor after scams  CalMatters,"(4, 12, 2023)",NEGATIVE
Key takeaways from the Newsom-DeSantis debate  CalMatters,"(1, 12, 2023)",NEGATIVE
Spanish wonderkid responds to Real Madrid links following Arsenal interest  FootballTransfers,"(5, 12, 2023)",POSITIVE
Real Madrid has final say on Girona’s Miguel Gutiérrez  AS USA,"(11, 12, 2023)",POSITIVE
Managing Madrid Podcast: Should Real Madrid bring back Miguel Gutierrez?  Managing Madrid,"(11, 12, 2023)",NEGATIVE
"Miguel Gutiérrez, from Ancelotti's dismissal to MVP of the derby and 'nightmare' for Barça  FC Barcelona Noticias","(11, 12, 2023)",NEGATIVE
"Real Madrid's dilemma: Miguel Gutiérrez shines, wanted by Europe's giants  PlanetSport","(12, 12, 2023)",POSITIVE
Arsenal linked Miguel Gutiérrez impresses as Girona beat Barcelona  Just Arsenal,"(11, 12, 2023)",POSITIVE
WATCH: Miguel Gutierrez stuns Barcelona with incredible solo goal as Girona take the lead against La Liga champions for the second time in thrilling first-half  Goal.com,"(10, 12, 2023)",POSITIVE
€15m Miguel Gutiérrez’s impressive form attracts Arsenal’s interest  Daily Cannon,"(13, 12, 2023)",POSITIVE
Girona and City Team Up Against Real Madrid  Man City Square,"(12, 12, 2023)",POSITIVE
Bayern Munich tracking Girona’s young full-back  Bayern Strikes,"(15, 12, 2023)",POSITIVE
Girona beat Barca for 1st time as shock La Liga title bid gathers steam  theScore,"(10, 12, 2023)",POSITIVE
Real Madrid exit the scene to give Arsenal clear run at £34m star who’s flying in La Liga  TEAMtalk,"(12, 12, 2023)",NEGATIVE
From Spain: Manchester City monitoring Girona left-back Miguel Gutiérrez  City Xtra,"(12, 12, 2023)",POSITIVE
"Man City chiefs now eyeing ""brilliant"" Gutierrez to succeed Cancelo for Pep  FootballFanCast.com","(15, 12, 2023)",POSITIVE
(WATCH) Former Real Madrid player puts Girona back in front at Barcelona  Football Espana,"(10, 12, 2023)",POSITIVE
Barcelona 2-4 Girona: Goals and highlights - LaLiga 23/24  Marca.com,"(10, 12, 2023)",POSITIVE
Man City 'eye up move for lightning quick full back Miguel Gutierrez' - who plays for City Group side Girona -  Daily Mail,"(16, 12, 2023)",POSITIVE
US releases Maduro’s alleged front man in prisoner swap with Venezuela  Agencia EFE,"(21, 12, 2023)",NEGATIVE
AC Milan set sights on 22-year-old talent of Girona  Milan Reports,"(19, 12, 2023)",POSITIVE
Arsenal track €35m former Real Madrid youngster  Daily Cannon,"(15, 12, 2023)",POSITIVE
Bayern Munich tracking Girona’s young full-back  Bayern Strikes,"(15, 12, 2023)",POSITIVE
Manchester City 'to rival Real Madrid for Girona left-back Miguel Gutierrez'  Sports Mole,"(16, 12, 2023)",NEGATIVE
Man City to be gifted one of La Liga's best; owners can grant Guardiola wish to devastate Arsenal  TEAMtalk,"(16, 12, 2023)",POSITIVE
"Man City chiefs now eyeing ""brilliant"" Gutierrez to succeed Cancelo for Pep  FootballFanCast.com","(15, 12, 2023)",POSITIVE
Man City battle Real Madrid for Girona star and Kalvin Phillips' hefty loan fee  Manchester Evening News,"(17, 12, 2023)",POSITIVE
Man City: Pep Guardiola jagt Girona-Flitzer Gutiérrez - Auch Real Madrid mischt mit  SportBILD,"(15, 12, 2023)",NEGATIVE
Miguel Gutierrez Jr.  CalMatters,"(25, 12, 2023)",NEGATIVE
Real Madrid have €8 million buyback option for Miguel Gutierrez  Managing Madrid,"(27, 12, 2023)",POSITIVE
Former Dominican Republic Congressman Miguel Gutierrez pleads guilty after trafficking more than FIVE TONS of  Daily Mail,"(29, 12, 2023)",NEGATIVE
Contract clauses make Real Madrid deal for impressive left-back more complicated  Football Espana,"(26, 12, 2023)",POSITIVE
California is pressing universities to repatriate thousands of Native American remains and artifacts. How two campuses are succeeding.  Capital Public Radio News,"(27, 12, 2023)",NEGATIVE
Local Journalism Worth Reading From 2023  The New York Times,"(22, 12, 2023)",POSITIVE
Bayern Munich raise contract-extension offer: Alphonso Davies must take pay-cut to play for Real Madrid  Marca.com,"(28, 12, 2023)",NEGATIVE
"2023 in California photos: Record rain, epic super blooms and historic strikes  CalMatters","(25, 12, 2023)",POSITIVE
California new laws for 2024: Employees get protection for using cannabis  CalMatters,"(27, 12, 2023)",NEGATIVE
These new California laws take effect in 2024  CalMatters,"(27, 12, 2023)",NEGATIVE
Former Dominican Republic Congressman Miguel Gutierrez pleads guilty after trafficking more than FIVE TONS of  Daily Mail,"(29, 12, 2023)",NEGATIVE
Real Madrid intends to 'steal' one of its mainstays from Girona  FC Barcelona Noticias,"(31, 12, 2023)",NEGATIVE
California new laws for 2024: Longer prison sentences for fentanyl trafficking  CalMatters,"(29, 12, 2023)",NEGATIVE
California new laws for 2024: speed cameras and cruising allowed  KRON4,"(31, 12, 2023)",POSITIVE
"ULTIMATE TRANSFER WINDOW GUIDE: The January window is open... so what does YOUR club want, who do they like an  Daily Mail","(31, 12, 2023)",POSITIVE
Ex-Dominican Representative receives sentence reduction in US drug trafficking case  Dominican Today,"(4, 1, 2024)",NEGATIVE
Man United 'keep tabs on Girona's star left-back Miguel Gutierrez' as Erik ten Hag looks to bolster his squad  Daily Mail,"(5, 1, 2024)",POSITIVE
Man Utd closely monitoring Girona's Gutierrez but Madrid have final decision  BeSoccer EN,"(4, 1, 2024)",NEGATIVE
The new CA laws you need to know  CalMatters,"(2, 1, 2024)",NEGATIVE
Man Utd closely tracking Girona’s breakthrough star Miguel Gutierrez – but Real Madrid will decide next tra...  The Sun,"(4, 1, 2024)",POSITIVE
Arsenal want La Liga 22yo but deal appears complex  Daily Cannon,"(6, 1, 2024)",NEGATIVE
Manchester United interested in former Real Madrid defender  The Real Champs,"(4, 1, 2024)",POSITIVE
Man City could block Arsenal and Man Utd from completing January transfer  SPORTbible,"(5, 1, 2024)",NEGATIVE
"Man Utd target Girona defender, face competition from Real Madrid  Geo Super","(5, 1, 2024)",NEGATIVE
Euro Paper Talk: Man Utd hatching £22m plan to land brilliant left-back as double signing nears; Klopp standing firm over Barcelona Anfield smash and grab  TEAMtalk,"(5, 1, 2024)",POSITIVE
Manchester United want to sign Girona left-back Miguel Gutierrez  Man Utd News,"(4, 1, 2024)",NEGATIVE
"Former Small Business Administration head, ex-WellMed consultant heading to prison  San Antonio Express-News","(10, 1, 2024)",NEGATIVE
Tech is growing as a source of California tax revenue — that’s the good news and the bad news  CalMatters,"(11, 1, 2024)",NEGATIVE
Digging Out: Newsom Outlines Plan to Cover State Budget Deficit  Santa Barbara Independent,"(10, 1, 2024)",NEGATIVE
"Americanas: Brazil’s biggest accounting scandal, one year later  The Brazilian Report","(11, 1, 2024)",NEGATIVE
Supreme Court case about impact fees could have huge consequences for housing in California  CalMatters,"(9, 1, 2024)",NEGATIVE
Newsom administration makes progress on tiny home promise  CalMatters,"(11, 1, 2024)",POSITIVE
Newsom OK’d a minimum wage increase for health care workers. Now he wants to delay it  CalMatters,"(10, 1, 2024)",NEGATIVE
"California has a budget deficit, but there’s disagreement about how big. Who’s right?  CalMatters","(10, 1, 2024)",NEGATIVE
Journalism preservation bill gives California newsrooms much-needed leverage over Big Tech  CalMatters,"(22, 1, 2024)",POSITIVE
Tech a growing source of California’s tax revenue — part good news and bad news  Silicon Valley,"(16, 1, 2024)",POSITIVE
"Girona stay top, Real Madrid fight back amid VAR controversy  Xinhua","(22, 1, 2024)",POSITIVE
"Whatever the Supreme Court decides, California can’t keep criminalizing homelessness  CalMatters","(17, 1, 2024)",NEGATIVE
Cal State faculty strike across all 23 campuses in historic labor walkout  CalMatters,"(22, 1, 2024)",NEGATIVE
"Tsygankov scored a pre-goal in another match for Girona (VIDEO) (Jan. 18, 2024)  Динамо Киев от Шурика","(18, 1, 2024)",POSITIVE
"Legislature’s analyst praises, pans Newsom budget  CalMatters","(16, 1, 2024)",POSITIVE
"Dovbik scored a hat-trick for Girona. Another goal for Tsygankov (VIDEO) (Jan. 22, 2024)  Динамо Киев от Шурика","(22, 1, 2024)",POSITIVE
Proposed California budget cuts alarm advocates  CalMatters,"(17, 1, 2024)",NEGATIVE
"Profile: Miguel Gutiérrez, Portobello Capital  The Drawdown","(25, 1, 2024)",POSITIVE
Americanas Probe Circles Around Ex-CEO Living in Spain (Correct)  Bloomberg Law,"(24, 1, 2024)",POSITIVE
Americanas Probe Circles Around Ex-CEO Living in Spain  Bloomberg,"(23, 1, 2024)",POSITIVE
Former Police Chief Art Acevedo’s return to Austin fuels angst in the community  Texas Standard,"(23, 1, 2024)",POSITIVE
Journalism preservation bill gives California newsrooms much-needed leverage over Big Tech  CalMatters,"(22, 1, 2024)",POSITIVE
"San Jose, other Cities, Face State Deadline to Speed Up New Housing Construction  San Jose Inside","(25, 1, 2024)",NEGATIVE
"California won’t vote for its next governor until June 2026, but the race is already crowded  Santa Monica Daily Press","(24, 1, 2024)",NEGATIVE
"Girona stay top, Real Madrid fight back amid VAR controversy  Xinhua","(22, 1, 2024)",POSITIVE
Real Madrid signing of winger officially announced  The Real Champs,"(24, 1, 2024)",POSITIVE
Cal State faculty strike across all 23 campuses in historic labor walkout  CalMatters,"(22, 1, 2024)",NEGATIVE
California’s unique employee lawsuit law could be repealed if ballot measure passes  CalMatters,"(23, 1, 2024)",NEGATIVE
"Dovbik scored a goal for Girona, but it did not save them from elimination from the Spanish Cup (VIDEO)  Динамо Киев от Шурика","(25, 1, 2024)",NEGATIVE
