description,date,sentiment
"Antoine Griezmann's salary, contract, Instagram, net worth, house, cars, age, stats, latest news  Sportsbrief","(9, 8, 2023)",POSITIVE
Antoine Griezmann Switches to Lucky Hairstyle Ahead of New La Liga Season  Sportsbrief,"(14, 8, 2023)",POSITIVE
Footballers who love horse racing  Caj News Africa,"(15, 8, 2023)",POSITIVE
The football players with the highest combined transfer fees  Sportingpedia,"(14, 8, 2023)",POSITIVE
Antoine Griezmann keen to join Lionel Messi in MLS - SBI Soccer  SBI Soccer,"(16, 8, 2023)",POSITIVE
Antoine Griezmann: ‘I want to end my career in MLS’  AS USA,"(17, 8, 2023)",NEGATIVE
Griezmann keen to join 'incredible' Messi in MLS  ESPN,"(16, 8, 2023)",POSITIVE
"Antoine Griezmann on losing World Cup: ""It hurt, but then I was happy"" for Atletico Madrid teammates  Marca.com","(17, 8, 2023)",POSITIVE
"Griezmann has been watching Messi, calls MLS move 'my target'  Pro Soccer Wire","(16, 8, 2023)",NEGATIVE
"'I'm doing a lot of fantasy leagues' - France star Antoine Griezman shares love of American sports, MLB star Julio Rodriguez and collecting trading cards  Goal.com","(17, 8, 2023)",POSITIVE
Antoine Griezmann still wants to follow Lionel Messi and finish his soccer career in MLS... as Atletico Madrid  Daily Mail,"(17, 8, 2023)",NEGATIVE
"Griezmann's advice to Joao Félix: ""The best thing was to work and keep quiet""  FC Barcelona Noticias","(17, 8, 2023)",NEGATIVE
The American dream - Antoine Griezmann keen to join MLS in the future - Football video  Eurosport COM,"(18, 8, 2023)",POSITIVE
Griezmann expresses aspiration to join Leo Messi’s Inter Miami following Atletico Madrid stint  MUNDO DEPORTIVO,"(18, 8, 2023)",POSITIVE
Antoine Griezmann on Lionel Messi’s Inter Miami move – “It is the best thing the MLS has ever done”  Football Espana,"(17, 8, 2023)",POSITIVE
Antoine Griezmann aims to 'end up' in MLS after Atletico Madrid career  90min UK,"(19, 8, 2023)",POSITIVE
"""My target is to end up there"" - Antoine Griezmann reveals MLS dream and heaps praise on Inter Miami for Messi, Busquets and Alba signings  Sportskeeda","(17, 8, 2023)",POSITIVE
Antoine Griezmann drops another hint he's eager to join Lionel Messi in MLS  Express,"(17, 8, 2023)",NEGATIVE
Antoine Griezmann reaches 500 LALIGA appearances  Khel Now,"(21, 8, 2023)",NEGATIVE
Antoine Griezmann names unexpected career priority  DailySports,"(26, 8, 2023)",POSITIVE
"Atlético 7-0 Rayo (Aug 28, 2023) Game Analysis  ESPN","(28, 8, 2023)",POSITIVE
Rayo Vallecano 0-7 Atlético Madrid: Player Ratings  Into The Calderon,"(29, 8, 2023)",NEGATIVE
"Joao Felix: In limbo at Atletico, coveted by Barca – what’s next for €127m forward? - The Athletic  The New York Times","(22, 8, 2023)",NEGATIVE
Rayo Vallecano 0-7 Atletico Madrid: Diego Simeone's side record biggest La Liga away win  BBC.com,"(28, 8, 2023)",POSITIVE
Rayo Vallecano 0-7 Atletico Madrid: Diego Simeone's men run riot as Alvaro Morata strikes twice in seven-goal  Daily Mail,"(28, 8, 2023)",POSITIVE
"Atlético 7-0 Rayo (28 Aug, 2023) Final Score  ESPN.co.uk","(28, 8, 2023)",POSITIVE
"La Liga Round-Up: Atletico Madrid fire seven in Madrid derby, Getafe get first win  Football Espana","(29, 8, 2023)",POSITIVE
Morata scores twice as Atletico thrash Rayo 7-0| Gulf Times  Gulf Times,"(29, 8, 2023)",POSITIVE
From Hazard to Coutinho: 10 Biggest Flop Transfers in European Football  News18,"(26, 8, 2023)",NEGATIVE
"Preview: Rayo Vallecano vs. Atletico Madrid - prediction, team news, lineups  Sports Mole","(26, 8, 2023)",NEGATIVE
"Rayo Vallecano - Atletico - 0:7. Spanish Championship, 3rd round. Match review, statistics (Aug. 29, 2023)  Динамо Киев от Шурика","(29, 8, 2023)",NEGATIVE
Sam Warburton and Andy Goode name rugby stadium with ‘best atmosphere’ in the world  The Independent,"(29, 8, 2023)",POSITIVE
Cristiano Ronaldo to get new teammate as Al Nassr seriously interested in Barcelona attacker  myKhel,"(27, 8, 2023)",POSITIVE
Over 1800 Nagpurians take part in Pulse Marathon  The Hitavada,"(23, 8, 2023)",POSITIVE
Didier Deschamps tight lipped on Kylian Mbappe and Antoine Griezmann Olympics talk  Eurosport COM,"(31, 8, 2023)",POSITIVE
Rayo Vallecano 0-7 Atlético Madrid: Player Ratings  Into The Calderon,"(29, 8, 2023)",NEGATIVE
Kylian Mbappe's reaction when Griezmann signed him for Newcastle on FM is going viral again  SPORTbible,"(1, 9, 2023)",POSITIVE
Real Madrid’s $70M signing that has been benched and is 'sad’ due to the situation  bolavip.com,"(1, 9, 2023)",NEGATIVE
Two reds but Barca needs just one goal to beat Atletico  theSun,"(1, 9, 2023)",NEGATIVE
French fashion designer Laure Severac died in Wales cycling crash  BBC.com,"(1, 9, 2023)",NEGATIVE
"La Liga Round-Up: Atletico Madrid fire seven in Madrid derby, Getafe get first win  Football Espana","(29, 8, 2023)",POSITIVE
Morata scores twice as Atletico thrash Rayo 7-0| Gulf Times  Gulf Times,"(29, 8, 2023)",POSITIVE
France announce squad for September International break  Khel Now,"(31, 8, 2023)",POSITIVE
Lorenzo Insigne continues to look at options outside of MLS  Bolavip US,"(30, 8, 2023)",POSITIVE
"Rayo Vallecano - Atletico - 0:7. Spanish Championship, 3rd round. Match review, statistics (Aug. 29, 2023)  Динамо Киев от Шурика","(29, 8, 2023)",NEGATIVE
EA Sports FC 24 Ratings Leak: Highest Rated Players 30-21  DBLTAP,"(30, 8, 2023)",NEGATIVE
New EA FC 24 celebrations leaked: All moves & controls  CharlieINTEL.com,"(29, 8, 2023)",NEGATIVE
"FIFA 23 EA FC 24 Pre Season Best of Re-Release Batch 1 Full List with Ronaldo Futties, Pele Shapeshifters and Toure Hero  FifaUltimateTeam.it - UK","(1, 9, 2023)",NEGATIVE
Barcelona transfer news: DONE DEAL! - Joao Felix FINALLY seals 'dream' transfer  FootballTransfers,"(1, 9, 2023)",POSITIVE
Antoine Griezmann to join Lionel Messi at Inter Miami? Atletico Madrid star already has plenty of offers on the table from MLS  Goal.com,"(6, 9, 2023)",NEGATIVE
Griezmann’s Future in MLS: A Bold Leap or a Threat to Atlético Madrid?  MLS Multiplex,"(4, 9, 2023)",POSITIVE
Antoine Griezmann admits that he had options to leave Atletico Madrid this summer  Football Espana,"(6, 9, 2023)",NEGATIVE
PSG’s Decision: Why They Chose Not to Sign Atlético de Madrid’s Griezmann  PSG Talk,"(6, 9, 2023)",NEGATIVE
Antoine Griezmann 'has received offers from several MLS clubs' as Atletico Madrid 'already looks to replace hi  Daily Mail,"(6, 9, 2023)",POSITIVE
Antoine Griezmann’s wage demands priced PSG out of summer move  Get French Football News,"(7, 9, 2023)",NEGATIVE
Antoine Griezmann not tempted by Saudi Pro League  soccertimes.com,"(7, 9, 2023)",POSITIVE
Antoine Griezmann makes superb claim about Celtic  The Celtic Bhoys,"(7, 9, 2023)",POSITIVE
Report: Antoine Griezmann was never close to joining PSG  PSG Post,"(8, 9, 2023)",NEGATIVE
Kylian Mbappe's reaction when Griezmann signed him for Newcastle on FM is going viral again  SPORTbible,"(1, 9, 2023)",POSITIVE
Antoine Griezmann could follow Lionel Messi to MLS as offers made for Atletico star  The Mirror,"(6, 9, 2023)",POSITIVE
France too strong for spirited Republic of Ireland as Marcus Thuram seals win  The Guardian,"(7, 9, 2023)",NEGATIVE
'There was contact' - Antoine Griezmann explains why he rejected chance to leave Atletico and link-up with Cristiano Ronaldo at Al-Nassr  Goal.com,"(7, 9, 2023)",NEGATIVE
Atletico Madrid wary of possible departure of Antoine Griezmann in 2024  Football Espana,"(5, 9, 2023)",POSITIVE
Antoine Griezmann pays Celtic ultimate Champions League respect as Atleti superstar reveals big Euro ambition  Daily Record,"(6, 9, 2023)",POSITIVE
Messi or Haaland? Griezmann makes hilarious Ballon d'Or pick  World Soccer Talk,"(9, 9, 2023)",POSITIVE
Antoine Griezmann confirms where he’d like to play next  bolavip.com,"(11, 9, 2023)",POSITIVE
Griezmann’s Dilemma: Between Saudi Wealth and the American Dream  MLS Multiplex,"(12, 9, 2023)",NEGATIVE
Kevin Durant Needs to Stop Screwing Around and Bring Antoine Griezmann to Philly  Crossing Broad,"(11, 9, 2023)",POSITIVE
[VIDEO] Antoine Griezmann gets ready with France for friendly vs Germany  The Korea JoongAng Daily,"(12, 9, 2023)",POSITIVE
Griezmann rules out Haaland and gives his three candidates for the Ballon d'Or  FC Barcelona Noticias,"(9, 9, 2023)",POSITIVE
"Germany 2-1 France (Sep 12, 2023) Game Analysis  ESPN","(12, 9, 2023)",POSITIVE
Moving to Saudi Arabia is not on Griezmann's agenda  BeSoccer EN,"(12, 9, 2023)",NEGATIVE
Antoine Griezmann reaffirms desire to play in Major League Soccer  90min UK,"(12, 9, 2023)",POSITIVE
Griezmann singled out three players of the German national team  DailySports,"(11, 9, 2023)",POSITIVE
Spain's Mango Man to launch A/W collection with Antoine Griezmann  Fibre2fashion.com,"(14, 9, 2023)",POSITIVE
Antoine Griezmann makes intentions clear on future – ‘MLS is my goal’  Football Espana,"(12, 9, 2023)",POSITIVE
‘Messi or Mbappé’ – Antoine Griezmann Gives Witty Response to Who Should Win Ballon d’Or  PSG Talk,"(9, 9, 2023)",POSITIVE
"Not Messi or Haaland, Griezmann names player who should win Ballon d’Or  Hindustan Times","(12, 9, 2023)",NEGATIVE
'My priority remains MLS' - France star Antoine Griezmann's American dream still lingers in the back of his head despite Saudi Arabia spending spree  Goal.com,"(11, 9, 2023)",POSITIVE
This is the award that Antoine Griezmann will receive from two Socios.com users  Marca.com,"(22, 9, 2023)",POSITIVE
"Mango Man presents, with Antoine Griezmann, the new Autumn/Winter 2023 campaign with this season's Performance collection  Mango Fashion Group","(15, 9, 2023)",POSITIVE
Antoine Griezmann makes Saudi Arabia decision as he opens up on future transfer  SPORTbible,"(22, 9, 2023)",POSITIVE
Antoine Griezmann responds to snub from Spanish newspaper following Champions League MVP award  Football Espana,"(21, 9, 2023)",NEGATIVE
SS Lazio 1-1 Atlético Madrid: Player Ratings  Into The Calderon,"(20, 9, 2023)",NEGATIVE
Atletico Madrid wants Juventus player to replace Griezmann  Juve FC,"(15, 9, 2023)",NEGATIVE
Antoine Griezmann buoyant despite heartbreaking Lazio draw – “We can hold our heads up high”  Football Espana,"(19, 9, 2023)",POSITIVE
Video: Brutal red card issued in El Clásico Nacional Hondureño  Bolavip US,"(18, 9, 2023)",NEGATIVE
Valencia CF 3-0 Atlético de Madrid: Player Ratings  Into The Calderon,"(16, 9, 2023)",POSITIVE
Carlos Martín Scouting Report 2023/24: Why Atlético Madrid's Loaned Out Starlet Could Be A Griezmann Heir  Total Football Analysis Magazine,"(18, 9, 2023)",NEGATIVE
Grading Abidal's Barcelona Signings  beIN SPORTS,"(15, 9, 2023)",NEGATIVE
"Alexia Putellas, the player with the best in-game stats in EA Sports FC 24 ahead of Griezmann and De Bruyne  Marca.com","(20, 9, 2023)",POSITIVE
Top 10 players with biggest rating upgrade in EA FC 24  Khel Now,"(20, 9, 2023)",POSITIVE
23/24 Champions League kicks off at the Stadio Olimpico  Atletico Madrid,"(17, 9, 2023)",POSITIVE
Japanese wrestlers bring chaos to aisle of speeding bullet train with all-out brawl  The Independent,"(20, 9, 2023)",POSITIVE
"Antoine Griezmann: David Beckham fan, NBA and Lionel Messi’s business partner  AS USA","(24, 9, 2023)",POSITIVE
This is the award that Antoine Griezmann will receive from two Socios.com users  Marca.com,"(22, 9, 2023)",POSITIVE
"Atlético 2-0 Osasuna (Sep 28, 2023) Game Analysis  ESPN","(28, 9, 2023)",POSITIVE
Atletico Madrid beats Real Madrid 3-1 in Spanish league to end rival's perfect start to the season  The Associated Press,"(24, 9, 2023)",POSITIVE
Atletico Madrid striker Antoine Griezmann reveals bizarre reason behind his stunning return to form...  The US Sun,"(29, 9, 2023)",POSITIVE
Antoine Griezmann makes Saudi Arabia decision as he opens up on future transfer  SPORTbible,"(22, 9, 2023)",POSITIVE
WATCH: Antoine Griezmann gives hilarious response as explanation for improved Atletico Madrid form  Football Espana,"(29, 9, 2023)",POSITIVE
Antoine Griezmann returns to form as the Decisive Player of Matchday 7  Marca.com,"(29, 9, 2023)",POSITIVE
Atletico de Madrid Star Joins PSG’s Mbappé & Liverpool’s Salah in Impressive Stat  PSG Talk,"(29, 9, 2023)",POSITIVE
Álvaro Morata double earns Atlético Madrid derby win over Real Madrid  The Guardian,"(24, 9, 2023)",POSITIVE
Atlético de Madrid 3-1 Real Madrid CF: Player Ratings  Into The Calderon,"(25, 9, 2023)",POSITIVE
"Atletico Madrid 3-1 Real Madrid: Alvaro Morata scores twice as hosts take Spain's capital city derby, with Ant  Daily Mail","(24, 9, 2023)",POSITIVE
(WATCH) Antoine Griezmann doubles Atletico Madrid derby lead over Real Madrid  Football Espana,"(24, 9, 2023)",POSITIVE
"Atlético Madrid vs Real Madrid summary: score, goals, highlights | LaLiga EA Sports 2023-24  AS USA","(24, 9, 2023)",POSITIVE
Atlético Madrid 3-1 Real Madrid: La Liga – as it happened  The Guardian,"(24, 9, 2023)",POSITIVE
Antoine Griezmann returns to form as the Decisive Player of Matchday 7  Marca.com,"(29, 9, 2023)",POSITIVE
Atletico Madrid striker Antoine Griezmann reveals bizarre reason behind his stunning return to form...  The US Sun,"(29, 9, 2023)",POSITIVE
WATCH: Antoine Griezmann gives hilarious response as explanation for improved Atletico Madrid form  Football Espana,"(29, 9, 2023)",POSITIVE
Atletico de Madrid Star Joins PSG’s Mbappé & Liverpool’s Salah in Impressive Stat  PSG Talk,"(29, 9, 2023)",POSITIVE
Atletico Madrid improve to 5th in Spanish league standings with 2-0 win at Osasuna  Arab News,"(29, 9, 2023)",POSITIVE
"Atletico Madrid vs Cadiz Preview: Probable Lineups, Prediction, Tactics, Team News & Key Stats  The Hard Tackle","(30, 9, 2023)",NEGATIVE
Atletico Madrid considering makeshift forward option amid injury and suspension crisis  Football Espana,"(29, 9, 2023)",NEGATIVE
"Atlético 2-1 Real Sociedad (Oct 8, 2023) Game Analysis  ESPN","(8, 10, 2023)",POSITIVE
Antoine Griezmann among star athletes backing Athletico Ventures investment fund  SportsPro Media,"(2, 10, 2023)",POSITIVE
Atlético de Madrid - Real Sociedad: A Champions League-caliber clash  Into The Calderon,"(7, 10, 2023)",POSITIVE
Antoine Griezmann never 'connected' with Barça  FC Barcelona Noticias,"(4, 10, 2023)",NEGATIVE
The moment Griezmann signed Mbappé for Newcastle in Football Manager  AS USA,"(6, 10, 2023)",POSITIVE
Saul Niguez confirms summer Number 8 swap with Antoine Griezmann  Football Espana,"(6, 10, 2023)",POSITIVE
Watch: Sadhguru meets Atletico Madrid forward Antoine Griezmann and manager Diego Simeone  The Times of India,"(7, 10, 2023)",POSITIVE
La Liga: Griezmann’s late penalty earns Atletico Madrid 2-1 win over Sociedad  Sportstar,"(8, 10, 2023)",POSITIVE
"Round-up: Newcastle United’s historic hammering of PSG, Ferran Torres secures win for Barcelona in Porto  Eurosport COM","(5, 10, 2023)",POSITIVE
Barcelona teenager Yamal becomes youngest scorer in Spanish league in 2-2 draw at Granada  The Associated Press,"(8, 10, 2023)",POSITIVE
"Atlético 3-2 Feyenoord (Oct 4, 2023) Final Score  ESPN","(4, 10, 2023)",POSITIVE
"Atlético 2-1 Real Sociedad (8 Oct, 2023) Final Score  ESPN.co.uk","(8, 10, 2023)",POSITIVE
"""The crossover I never expected"" - Fans in disbelief as video of Indian yogi Sadhguru visiting Atletico Madrid stadium comes to light  Sportskeeda","(7, 10, 2023)",POSITIVE
Atleti’s Antoine Griezmann in excellent form as he prepares to face boyhood club Real Sociedad  Football Espana,"(6, 10, 2023)",POSITIVE
Atlético de Madrid 3-2 Feyenoord Rotterdam: Player Ratings  Into The Calderon,"(5, 10, 2023)",NEGATIVE
"Atlético 2-1 Real Sociedad (Oct 8, 2023) Game Analysis  ESPN","(8, 10, 2023)",POSITIVE
Atlético de Madrid 2-1 Real Sociedad: 3 key stats  Into The Calderon,"(9, 10, 2023)",POSITIVE
La Liga: Griezmann’s late penalty earns Atletico Madrid 2-1 win over Sociedad  Sportstar,"(8, 10, 2023)",POSITIVE
Antoine Griezmann clinches late Atletico Madrid win over Real Sociedad  Football Espana,"(8, 10, 2023)",POSITIVE
Barcelona teenager Yamal becomes youngest scorer in Spanish league in 2-2 draw at Granada  The Associated Press,"(8, 10, 2023)",POSITIVE
EA FC 24 Trailblazers Team 1: all players in Ultimate Team  Sports Illustrated,"(13, 10, 2023)",POSITIVE
"Atlético 2-1 Real Sociedad (8 Oct, 2023) Final Score  ESPN.co.uk","(8, 10, 2023)",POSITIVE
How to watch Brazil vs Venezuela for FREE in the US: TV Channel and Live Streaming  bolavip.com,"(9, 10, 2023)",NEGATIVE
Four reasons why France can win Euro 2024  Hayters,"(15, 10, 2023)",POSITIVE
France ratings vs the Netherlands: Never write off Kylian Mbappe! Superstar shakes off poor PSG form to secure Euro 2024 qualification with stunning goals  Goal.com,"(13, 10, 2023)",POSITIVE
Late Griezmann penalty earns Atletico win over Real Sociedad  New Vision,"(8, 10, 2023)",POSITIVE
"Barca lose Liga ground despite Granada comeback, Atletico beat Sociedad  Mathrubhumi English","(9, 10, 2023)",NEGATIVE
Tennis player’s adorable son toddles onto court to share hug with father  The Independent,"(13, 10, 2023)",POSITIVE
Ex-Juventus Maestro Dethroned: Mbappé Climbs France’s All-Time Scoring List  PSG Talk,"(14, 10, 2023)",POSITIVE
"France 4-0 Netherlands (Mar 24, 2023) Game Analysis  ESPN","(12, 10, 2023)",POSITIVE
"Atlético 3-0 Celta Vigo (Oct 21, 2023) Game Analysis  ESPN","(22, 10, 2023)",POSITIVE
"Griezmann, at record pace  Atletico Madrid","(22, 10, 2023)",POSITIVE
Celta Vigo 0-3 Atlético Madrid: Griezmann extends Atlético’s winning run  Into The Calderon,"(22, 10, 2023)",POSITIVE
Antoine Griezmann creates record for most consecutive international appearances  Khel Now,"(16, 10, 2023)",POSITIVE
Ramos helps Sevilla hold his former club Real Madrid to 1-1 draw. Hat trick for Atletico's Griezmann  The Associated Press,"(21, 10, 2023)",POSITIVE
"In 2019, Antoine Griezmann posted his Arsenal 2023 squad on Football Manager - it was class  GIVEMESPORT","(22, 10, 2023)",POSITIVE
Antoine Griezmann Treble Against Celta Vigo Takes Atletico Madrid Second  NDTV Sports,"(22, 10, 2023)",POSITIVE
VIDEO: Griezmann on his hat-trick vs Celta Vigo  BeSoccer EN,"(21, 10, 2023)",NEGATIVE
"La Liga round-up: Antoine Griezmann sinks 10-man Celta Vigo, Real Sociedad edge past Mallorca  Football Espana","(21, 10, 2023)",NEGATIVE
Griezmann Hat-Trick Gives Atletico 3-0 Win Over 10-Man Celta  Arise News,"(22, 10, 2023)",POSITIVE
Antoine Griezmann's hat-trick powers Atletico Madrid to 3-0 win over Celta Vigo  The Times of India,"(22, 10, 2023)",POSITIVE
Benjamin Pavard Scores Two Goals As France Thrash Scotland In Lille  Sports Illustrated,"(17, 10, 2023)",POSITIVE
"Atletico wins with Griezmann's ""hat-trick"".  KOHA.net","(22, 10, 2023)",POSITIVE
Antoine Griezmann defends his throne and already leads the Decisive Player of the Week table  Marca.com,"(24, 10, 2023)",POSITIVE
"European Team of the Week: Murphy, Son, Griezmann star  ESPN","(24, 10, 2023)",POSITIVE
"Griezmann, at record pace  Atletico Madrid","(22, 10, 2023)",POSITIVE
Celta Vigo 0-3 Atlético Madrid: Griezmann extends Atlético’s winning run  Into The Calderon,"(22, 10, 2023)",POSITIVE
Atletico misses chance to take outright group lead after 2-2 draw at Celtic in Champions League  The Associated Press,"(25, 10, 2023)",NEGATIVE
Antoine Griezmann delivers clear message to Celtic  The Celtic Bhoys,"(24, 10, 2023)",POSITIVE
EA FC 24 Team of the Week 6 Revealed  Sports Illustrated,"(25, 10, 2023)",POSITIVE
"In 2019, Antoine Griezmann posted his Arsenal 2023 squad on Football Manager - it was class  GIVEMESPORT","(22, 10, 2023)",POSITIVE
'Unparalleled' - Why Antoine Griezmann is one of the best players in Europe right now  Optus Sport,"(23, 10, 2023)",POSITIVE
Antoine Griezmann Treble Against Celta Vigo Takes Atletico Madrid Second  NDTV Sports,"(22, 10, 2023)",POSITIVE
Diego Simeone on Antoine Griezmann-Alvaro Morata partnership – “There are no secrets”  Football Espana,"(28, 10, 2023)",POSITIVE
"Atlético 3-0 Celta Vigo (Oct 21, 2023) Game Analysis  ESPN","(22, 10, 2023)",POSITIVE
Griezmann Hat-Trick Gives Atletico 3-0 Win Over 10-Man Celta  Arise News,"(22, 10, 2023)",POSITIVE
Fans question whether Antoine Griezmann’s goal v Celtic should count – amid little-known rule that saw Atl...  The Sun,"(25, 10, 2023)",NEGATIVE
Antoine Griezmann's hat-trick powers Atletico Madrid to 3-0 win over Celta Vigo  The Times of India,"(22, 10, 2023)",POSITIVE
"Griezmann available on cut-price transfer, EPL side to try luck  World Soccer Talk","(1, 11, 2023)",NEGATIVE
"Giroud, Griezmann, Modrić, Suárez?! Fabrizio Romano on big-name transfers to MLS  MLSsoccer.com","(1, 11, 2023)",NEGATIVE
Barça intends to repeat the 'Griezmann case' with Joao Félix  FC Barcelona Noticias,"(31, 10, 2023)",NEGATIVE
"Which players could follow Lionel Messi to MLS in 2024? Modric, Griezmann, Giroud…  AS USA","(1, 11, 2023)",NEGATIVE
Atlético de Madrid 2-1 Deportivo Alavés: Player Ratings  Into The Calderon,"(30, 10, 2023)",POSITIVE
Atletico Madrid clinch sixth straight La Liga win at home to Alaves  Football Espana,"(29, 10, 2023)",POSITIVE
Atletico Madrid’s top 10 all-time goal scorers  Khel Now,"(29, 10, 2023)",POSITIVE
Ballon d'Or 2023: Full standings for every award as Lionel Messi wins record eighth trophy  90min UK,"(30, 10, 2023)",POSITIVE
"2023 Ballon d'Or: Date, start time, nominees, tv channel and live stream  dazn.com","(29, 10, 2023)",POSITIVE
Lionel Messi completed football! How Argentina's World Cup hero won the 2023 Ballon d'Or over Erling Haaland  Goal.com,"(30, 10, 2023)",POSITIVE
"Jimmy Sains on fights at school, ‘needle’ in the amateurs, and the debut ‘buzz’  The Independent","(1, 11, 2023)",POSITIVE
Atletico overtake Barca with comfortable Alaves win  Borneo Bulletin,"(31, 10, 2023)",POSITIVE
Ballon d'Or 2023 official rankings: Lionel Messi beats Erling Haaland and Kylian Mbappe to claim eighth Golden Ball  Goal.com,"(31, 10, 2023)",POSITIVE
Narayana shuttlers for State meet  The Hitavada,"(31, 10, 2023)",POSITIVE
"Preview: Las Palmas vs. Atletico Madrid - prediction, team news, lineups  Sports Mole","(1, 11, 2023)",NEGATIVE
"Griezmann available on cut-price transfer, EPL side to try luck  World Soccer Talk","(1, 11, 2023)",NEGATIVE
The heart of Atlético Madrid: Antoine Griezmann  Tufts Daily,"(7, 11, 2023)",POSITIVE
Griezmann and Morata lead Atletico to 6-0 rout of 10-man Celtic in Champions League  The Associated Press,"(7, 11, 2023)",POSITIVE
Atletico Madrid 6-0 Celtic - Antoine Griezmann and Alvaro Morata net braces in UEFA Champions League victory  Eurosport COM,"(7, 11, 2023)",POSITIVE
One of France’s best soccer players met with Chiefs’ Patrick Mahomes in Germany  Kansas City Star,"(6, 11, 2023)",POSITIVE
Patrick Mahomes meets Antoine Griezmann at NFL game in Germany and exchange jerseys  Marca.com,"(6, 11, 2023)",POSITIVE
Griezmann and Morata lead Atlético Madrid’s thrashing of 10-man Celtic  The Guardian,"(7, 11, 2023)",POSITIVE
"Giroud, Griezmann, Modrić, Suárez?! Fabrizio Romano on big-name transfers to MLS  MLSsoccer.com","(1, 11, 2023)",NEGATIVE
Antoine Griezmann Golazo Helps Atletico Madrid Smash Ten-Man Celtic 6-0  Sports Illustrated,"(7, 11, 2023)",POSITIVE
"Antoine Griezmann and Barça, what could have been and was not  FC Barcelona Noticias","(8, 11, 2023)",NEGATIVE
A star-studded interaction! Antoine Griezmann and reigning NFL MVP Patrick Mahomes swap signed jerseys  Goal.com,"(6, 11, 2023)",POSITIVE
Antoine Griezmann reveals where he is getting ‘tricks’ for new midfield role at Atletico Madrid  Football Espana,"(8, 11, 2023)",POSITIVE
"Griezmann, Morata giving Atletico Madrid hope of La Liga title run  theScore","(2, 11, 2023)",POSITIVE
Patrick Mahomes meets Atletico Madrid star Antoine Griezmann in Germany as the pair swap jerseys after Chiefs'  Daily Mail,"(5, 11, 2023)",POSITIVE
4 talking points from Atlético Madrid 6-0 Celtic  Into The Calderon,"(8, 11, 2023)",POSITIVE
Antoine Griezmann to Kansas City? Sporting KC boss Peter Vermes addresses transfer rumors after Atletico Madrid star swaps jerseys with Chiefs quarterback Patrick Mahomes  Goal.com,"(14, 11, 2023)",NEGATIVE
Griezmann Headed to MLS: A Bold Move for Sporting Kansas City?  MLS Multiplex,"(14, 11, 2023)",POSITIVE
"Griezmann scores in comeback Atlético win, Rakitic salvages draw for Sevilla  Agencia EFE","(13, 11, 2023)",POSITIVE
