description,date,sentiment
EA FC 24: Founders Evolutions Upgrade – Best Players to Choose  Game Crater,"(25, 9, 2023)",POSITIVE
La UD logra su primera gran victoria como visitante (1-2)  udlaspalmas.es,"(8, 10, 2023)",NEGATIVE
"Villarreal - Las Palmas - 1:2. Spanish Championship, 9th round. Match review, statistics (Oct. 8, 2023)  Динамо Киев от Шурика","(8, 10, 2023)",POSITIVE
"Preview: Villarreal vs. Las Palmas - prediction, team news, lineups  Sports Mole","(6, 10, 2023)",NEGATIVE
"La prelista de 49 futbolistas de De la Fuente: Oriol Romeu, Isi Palazón, Javi Guerra, Grimaldo...  Marca","(3, 10, 2023)",NEGATIVE
La UD logra su primera gran victoria como visitante (1-2)  udlaspalmas.es,"(8, 10, 2023)",NEGATIVE
"Villarreal - Las Palmas - 1:2. Spanish Championship, 9th round. Match review, statistics (Oct. 8, 2023)  Динамо Киев от Шурика","(8, 10, 2023)",POSITIVE
Villarreal put on another painful performance to draw with Alaves  Villarreal USA,"(22, 10, 2023)",NEGATIVE
One to watch: 2004-born striker Omorodion scores third La Liga goal in Alaves 1-1 draw v Villarreal  All Nigeria Soccer,"(22, 10, 2023)",POSITIVE
"The story of My Chemical Romance’s The Black Parade: “When it was done, I knew that we’d created a monster”  Kerrang!","(18, 10, 2023)",NEGATIVE
"Preview: Villarreal vs. Alaves - prediction, team news, lineups  Sports Mole","(20, 10, 2023)",NEGATIVE
Teen Guiu's debut goal gives Barca victory over Bilbao  The Irrigator,"(22, 10, 2023)",POSITIVE
Villarreal put on another painful performance to draw with Alaves  Villarreal USA,"(22, 10, 2023)",NEGATIVE
La Liga roundup: Barcelona win against Athletic Bilbao thanks to Marc Guiu's goal  PlanetSport,"(23, 10, 2023)",POSITIVE
One to watch: 2004-born striker Omorodion scores third La Liga goal in Alaves 1-1 draw v Villarreal  All Nigeria Soccer,"(22, 10, 2023)",POSITIVE
17-year-old Guiu scores seconds into his first-team debut to give Barcelona a Spanish league victory  The Himalayan Times,"(23, 10, 2023)",POSITIVE
Teen Guiu's debut goal gives Barca victory over Bilbao  The Irrigator,"(22, 10, 2023)",POSITIVE
"Preview: Granada vs. Villarreal - prediction, team news, lineups  Sports Mole","(28, 10, 2023)",NEGATIVE
Gerard Moreno and Filip Jorgensen heroics see Villarreal edge Granada in five-goal thriller  Villarreal USA,"(31, 10, 2023)",POSITIVE
Mateo Gabbia issues verdict on Villarreal’s ‘important’ Granada win  Villarreal USA,"(1, 11, 2023)",POSITIVE
"Preview: Chiclana vs. Villarreal - prediction, team news, lineups  Sports Mole","(31, 10, 2023)",NEGATIVE
EA FC 24: How to complete Trailblazers Juan Foyth SBC – Solution & cost  Dexerto,"(1, 11, 2023)",POSITIVE
Football Manager 2024: Best strikers to sign  CharlieINTEL.com,"(1, 11, 2023)",POSITIVE
The heart of Atlético Madrid: Antoine Griezmann  Tufts Daily,"(7, 11, 2023)",POSITIVE
"European Team of the Week: Jackson, Palmer, Doku, Kane star  ESPN","(7, 11, 2023)",POSITIVE
"Preview: Maccabi Haifa vs. Villarreal - prediction, team news, lineups  Sports Mole","(7, 11, 2023)",NEGATIVE
EA FC 24 TOTW 8 Predictions  Eurogamer,"(6, 11, 2023)",NEGATIVE
"Preview: Villarreal vs. Athletic Bilbao - prediction, team news, lineups  Sports Mole","(3, 11, 2023)",NEGATIVE
EA FC 24: How to complete Trailblazers Juan Foyth SBC – Solution & cost  Dexerto,"(1, 11, 2023)",POSITIVE
WATCH: Inaki Williams scores fifth of the campaign as Bilbao triumph  Africa Top Sports,"(6, 11, 2023)",POSITIVE
Football Manager 2024: Best strikers to sign  CharlieINTEL.com,"(1, 11, 2023)",POSITIVE
Girona tops Spain's table after Rayod holds Real Madrid  News Ghana,"(6, 11, 2023)",POSITIVE
Gerard Moreno issues verdict on Marcelino’s Villarreal return and admits players must take responsibility  Villarreal USA,"(15, 11, 2023)",POSITIVE
Atlético Madrid - Villarreal CF: Atlético trying to stay in the title fight  Into The Calderon,"(11, 11, 2023)",NEGATIVE
"Atletico Madrid vs Villareal: Predicted lineup, injury news, head-to-head, telecast  Khel Now","(10, 11, 2023)",NEGATIVE
Maccabi Haifa vs Villarreal Prediction and Betting Tips | November 9th 2023  Sportskeeda,"(9, 11, 2023)",NEGATIVE
"Preview: Atletico Madrid vs. Villarreal - prediction, team news, lineups  Sports Mole","(10, 11, 2023)",NEGATIVE
300th strike for club and country: Griezmann helps Simeone celebrate Atletico deal in Villarreal comeback  RTL Today,"(13, 11, 2023)",POSITIVE
Robert Lewandowski rescues Barcelona as Inter Milan retake Serie A top spot  Jersey Evening Post,"(12, 11, 2023)",POSITIVE
Real Madrid’s Jude Bellingham Sets Another Record in Europe’s Top 5 Leagues  Sportsbrief,"(10, 11, 2023)",POSITIVE
Gerard Moreno issues verdict on Marcelino’s Villarreal return and admits players must take responsibility  Villarreal USA,"(15, 11, 2023)",POSITIVE
The brilliance of Lamine Yamal: The 16-year-old is already deciding matches for FC Barcelona  Football Espana,"(21, 11, 2023)",POSITIVE
How to Complete the Megan Rapinoe End of an Era SBC in EA Sports FC 24?  AFK Gaming,"(21, 11, 2023)",NEGATIVE
"Harry Kane and Robert Lewandowski stats compared so far in 2023/24, there's one clear winner  SPORTbible","(17, 11, 2023)",POSITIVE
Five strikers Aston Villa should target to avert Ollie Watkins disaster  Birmingham Live,"(18, 11, 2023)",NEGATIVE
Jose Luis Morales hat-trick sees Villarreal defeat Osasuna in Marcelino’s home opener  Villarreal USA,"(26, 11, 2023)",NEGATIVE
Robert Lewandowski warns Jude Bellingham ahead of race for Pichichi Trophy  90min UK,"(24, 11, 2023)",NEGATIVE
"Preview: Villarreal vs. Osasuna - prediction, team news, lineups  Sports Mole","(24, 11, 2023)",NEGATIVE
The race is on: Lewandowski sets sights on Bellingham and Pichichi Trophy  Sportsbrief,"(29, 11, 2023)",POSITIVE
Ranking the 10 best players in LaLiga for the 2023/24 season  The Trivela Effect,"(27, 11, 2023)",POSITIVE
La Liga MVPs of 2023-24  The Analyst,"(1, 12, 2023)",POSITIVE
"Preview: Sevilla vs. Villarreal - prediction, team news, lineups  Sports Mole","(1, 12, 2023)",NEGATIVE
The race is on: Lewandowski sets sights on Bellingham and Pichichi Trophy  Sportsbrief,"(29, 11, 2023)",POSITIVE
"How to Watch Sevilla FC vs. Villarreal CF: Live Stream, TV Channel, Start Time | 12/3/2023  Pro Soccer Wire","(3, 12, 2023)",POSITIVE
1-1: KIKE SALAS GOAL QUICKLY CANCELLED OUT IN FRUSTRATING DRAW  Web oficial Sevilla FC,"(3, 12, 2023)",NEGATIVE
La Liga MVPs of 2023-24  The Analyst,"(1, 12, 2023)",POSITIVE
Controversial draw against Sevilla (1-1)  Web Oficial del Villarreal CF,"(3, 12, 2023)",NEGATIVE
"Preview: Villarreal vs. Real Sociedad - prediction, team news, lineups  Sports Mole","(7, 12, 2023)",NEGATIVE
Forgotten 21st century Ballon d'Or nominees: Remember how good Cahill and 'Little Mozart' were?  Squawka,"(5, 12, 2023)",NEGATIVE
La Liga 2023/24: Most goals in Spain this season  Republic World,"(4, 12, 2023)",POSITIVE
"Preview: Sevilla vs. Villarreal - prediction, team news, lineups  Sports Mole","(1, 12, 2023)",NEGATIVE
"Real Madrid vs Villareal: Predicted lineup, injury news, head-to-head, telecast  Khel Now","(15, 12, 2023)",NEGATIVE
VAR denies Rennes stoppage-time equaliser in UEFA Europa League clash against Villarreal due to free-kick law  Eurosport COM,"(14, 12, 2023)",NEGATIVE
Robert Lewandowski rescues Barcelona as Inter Milan retake Serie A top spot  beIN SPORTS,"(11, 12, 2023)",POSITIVE
La Liga Round of 16 Preview: Athletic Bilbao hots Atletico Madrid as Barcelona travel to Valencia  Modern Ghana,"(15, 12, 2023)",POSITIVE
Into the round of 16 in a non-stop match (2-3)  Web Oficial del Villarreal CF,"(14, 12, 2023)",NEGATIVE
"Real Madrid v Villarreal team line-ups, live stream, TV details and tickets  Football Espana","(9, 12, 2023)",POSITIVE
"Preview: Real Madrid vs. Villarreal - prediction, team news, lineups  Sports Mole","(15, 12, 2023)",NEGATIVE
Rennes 2-3 Villarreal: Hosts denied dramatic late equaliser in bizarre circumstances  BBC,"(14, 12, 2023)",NEGATIVE
Three favourites and three dark horses for the Champions League  Hayters,"(15, 12, 2023)",POSITIVE
"Preview: Rennes vs. Villarreal - prediction, team news, lineups  Sports Mole","(12, 12, 2023)",NEGATIVE
Marcelino sends serious Villarreal warning and makes transfer promise after Real Madrid defeat  Villarreal USA,"(18, 12, 2023)",POSITIVE
Real Madrid’s Alaba to miss rest of season with ligament injury  Agencia EFE,"(18, 12, 2023)",NEGATIVE
Bellingham's 17th goal of the season helps Real Madrid move top of La Liga  theScore,"(17, 12, 2023)",POSITIVE
"Real Madrid vs Villareal: Predicted lineup, injury news, head-to-head, telecast  Khel Now","(15, 12, 2023)",NEGATIVE
"Madrid defender, Alaba, sustains injury  Punch Newspapers","(18, 12, 2023)",NEGATIVE
"Preview: Real Madrid vs. Villarreal - prediction, team news, lineups  Sports Mole","(15, 12, 2023)",NEGATIVE
Dovbik has moved into second place on the list of scorers in the Primera and is one step away from the lead in the goal+pass sys  Динамо Киев от Шурика,"(19, 12, 2023)",NEGATIVE
"Preview: Villarreal vs. Celta Vigo - prediction, team news, lineups  Sports Mole","(18, 12, 2023)",NEGATIVE
Villarreal CF’s most special moments of 2023  Web Oficial del Villarreal CF,"(29, 12, 2023)",POSITIVE
How much was Ben Brereton Diaz earning whilst he was at Blackburn Rovers?  Football League World,"(24, 12, 2023)",NEGATIVE
Villarreal CF’s most special moments of 2023  Web Oficial del Villarreal CF,"(29, 12, 2023)",POSITIVE
"Preview: Valencia vs. Villarreal - prediction, team news, lineups  Sports Mole","(31, 12, 2023)",NEGATIVE
"Salamanca 1-1 Villarreal (Jan 8, 2024) Final Score  ESPN","(8, 1, 2024)",POSITIVE
DP targets? Potential winter 2024 transfers for MLS teams  MLSsoccer.com,"(8, 1, 2024)",NEGATIVE
"Spanish LaLiga free live stream: Valencia vs. Villareal time, TV info  PennLive","(2, 1, 2024)",NEGATIVE
"EA FC TOTY 24 nominees: Ronaldo back with Messi, Spain's women star  ESPN","(7, 1, 2024)",POSITIVE
"La Liga: Valencia, Rayo kick off 2024 with wins  United News of India","(3, 1, 2024)",POSITIVE
"Preview: Unionistas vs. Villarreal - prediction, team news, lineups  Sports Mole","(5, 1, 2024)",NEGATIVE
All EA FC 24 TOTY nominees  Sportskeeda,"(5, 1, 2024)",POSITIVE
Penalti Dua Kali Pepelu Bring Valencia To Beat Villarreal  VOI English,"(3, 1, 2024)",POSITIVE
EA FC 24 All Men and Women’s TOTY Nominees: How to Vote for Team Of The Year from January 8  FifaUltimateTeam.it - UK,"(8, 1, 2024)",POSITIVE
"Salamanca 1-1 Villarreal (Jan 8, 2024) Final Score  ESPN","(8, 1, 2024)",POSITIVE
DP targets? Potential winter 2024 transfers for MLS teams  MLSsoccer.com,"(8, 1, 2024)",NEGATIVE
Committee appoints Charbonneau and Dube to lead  Valley Breeze,"(10, 1, 2024)",POSITIVE
Las Palmas vs Villarreal Prediction and Betting Tips | 13th January 2024  Sportskeeda,"(13, 1, 2024)",NEGATIVE
EA FC 24 All Men and Women’s TOTY Nominees: How to Vote for Team Of The Year from January 8  FifaUltimateTeam.it - UK,"(8, 1, 2024)",POSITIVE
eFootball 2024: Playstyle guide for Forwards  GamingonPhone,"(12, 1, 2024)",POSITIVE
"Villarreal 1-1 Mallorca (20 Jan, 2024) Final Score  ESPN.co.uk","(20, 1, 2024)",POSITIVE
Villarreal bring in star signing to turn around frustrating season  Football Espana,"(19, 1, 2024)",POSITIVE
"FC Barcelona Mounts Epic Three-Goal, 11-Minute Comeback But Loses To Villarreal, Ending Title Hopes  Forbes","(27, 1, 2024)",NEGATIVE
Barcelona 3-5 Villarreal: Barca shocked at home by Yellow Submarine in eight-goal thriller  Eurosport COM,"(27, 1, 2024)",POSITIVE
Barcelona 3-5 Villarreal: Goals and highlights - LaLiga EA Sports 23/24  Marca English,"(27, 1, 2024)",POSITIVE
"How to Watch FC Barcelona vs. Villarreal CF: Live Stream, TV Channel, Start Time | 1/27/2024  Pro Soccer Wire","(27, 1, 2024)",POSITIVE
Barcelona 3-5 Villarreal: Player ratings as Barca throw away comeback lead late on  90min UK,"(29, 1, 2024)",POSITIVE
Barcelona 10 points behind Madrid after losing 8-goal thriller to Villarreal  theScore,"(27, 1, 2024)",POSITIVE
"Barcelona vs Villarreal: Predicted lineup, injury news, head-to-head, telecast  Khel Now","(25, 1, 2024)",NEGATIVE
"La Liga 2023-24, Villarreal hammer Barcelona 5-3: Key stats  NewsBytes","(28, 1, 2024)",POSITIVE
"Xavi says will quit Barca after Villarreal defeat, Madrid take Liga lead  Bangladesh Sangbad Sangstha (BSS)","(28, 1, 2024)",NEGATIVE
Barcelona 3-5 Villarreal: Player ratings as Barca throw away comeback lead late on  90min UK,"(29, 1, 2024)",POSITIVE
Barcelona 3-5 Villareal: Barca shocked at home by Yellow Submarine in eight-goal thriller  AzerNews.Az,"(29, 1, 2024)",POSITIVE
"Xavi steps down as Barca lose again, Man United's Rashford issue, more  ESPN","(29, 1, 2024)",NEGATIVE
La Liga: Coach Xavi Hernández set to part ways with Barcelona FC  The Sentinel Assam,"(30, 1, 2024)",NEGATIVE
Hugo Duro - Among the top 10 strikers in the 5 major leagues with the longest distance covered per game  Valencia CF,"(5, 2, 2024)",POSITIVE
Jürgen Klopp plan for after Liverpool as new theory emerges about exit amid Barcelona links  Liverpool.com,"(8, 2, 2024)",POSITIVE
"Preview: Alaves vs. Villarreal - prediction, team news, lineups  Sports Mole","(8, 2, 2024)",NEGATIVE
"Preview: Villarreal vs. Cadiz - prediction, team news, lineups  Sports Mole","(2, 2, 2024)",NEGATIVE
"Cancelo and Lamine, dribble masters  FC Barcelona","(9, 2, 2024)",POSITIVE
Jude Bellingham injured after bagging brace against Girona  AS USA,"(10, 2, 2024)",NEGATIVE
Jürgen Klopp plan for after Liverpool as new theory emerges about exit amid Barcelona links  Liverpool.com,"(8, 2, 2024)",POSITIVE
"Preview: Villarreal vs. Getafe - prediction, team news, lineups  Sports Mole","(14, 2, 2024)",NEGATIVE
"Preview: Alaves vs. Villarreal - prediction, team news, lineups  Sports Mole","(8, 2, 2024)",NEGATIVE
"Who are the top 25 best strikers in the world? Profiles, stats, more  Sportsbrief","(13, 2, 2024)",POSITIVE
Toni Kroos: Real Madrid’s Midfield Metronome  Breaking The Lines,"(19, 2, 2024)",POSITIVE
Villarreal vs Getafe Prediction and Betting Tips | 16th February 2024  Sportskeeda,"(16, 2, 2024)",NEGATIVE
"Preview: Real Sociedad vs. Villarreal - prediction, team news, lineups  Sports Mole","(21, 2, 2024)",NEGATIVE
"Ilkay Gündogan, Europe's top creator  FC Barcelona","(26, 2, 2024)",POSITIVE
History: Marseille 4-0 Villarreal | UEFA Europa League 2023/24  UEFA.com,"(23, 2, 2024)",POSITIVE
Pau Cubarsí: What Makes Him Stand Out  MUNDO DEPORTIVO,"(28, 2, 2024)",POSITIVE
Only Karim Benzema is above Lionel Messi in incredible CURRENT LaLiga stat...  talkSPORT,"(28, 2, 2024)",POSITIVE
"Chelsea could save millions with academy starlet who ""can't stop scoring""  FootballFanCast.com","(24, 2, 2024)",POSITIVE
Best strikers for FIFA 23 Ultimate Team  Dexerto,"(29, 2, 2024)",POSITIVE
"Preview: Villarreal vs. Granada - prediction, team news, lineups  Sports Mole","(1, 3, 2024)",NEGATIVE
Best strikers for FIFA 23 Ultimate Team  Dexerto,"(29, 2, 2024)",POSITIVE
Villarreal predicted XI v Marseille: Eric Bailly set for Vélodrome return  Get French Football News,"(7, 3, 2024)",POSITIVE
Portuguese chemical company Bondalti launches €329 million takeover bid for Ercros  Cuatrecasas,"(8, 3, 2024)",NEGATIVE
"Preview: Villarreal vs. Granada - prediction, team news, lineups  Sports Mole","(1, 3, 2024)",NEGATIVE
"Preview: Marseille vs. Villarreal - prediction, team news, lineups  Sports Mole","(5, 3, 2024)",NEGATIVE
"eFootball 2024 Season 5 'Dominate the Game' arrives with themed campaign, players, events, and more  GamingonPhone","(7, 3, 2024)",POSITIVE
Football Players With The Most Trophies 2024: Top 16 Decorated  Bscholarly,"(4, 3, 2024)",POSITIVE
Cubarsi gets 1st Spain call-up as De la Fuente assesses Euro 2024 options  theScore,"(15, 3, 2024)",POSITIVE
Spain Squad Announced with Major Addition and Several Returns  beIN SPORTS,"(15, 3, 2024)",POSITIVE
Cubarsí gets the call from Luis de la Fuente!  MUNDO DEPORTIVO,"(15, 3, 2024)",POSITIVE
A great comeback against Real Betis (2-3)  Web Oficial del Villarreal CF,"(10, 3, 2024)",POSITIVE
"Spain call up for Barca defender Pau Cubarsi, 17  RFI English","(15, 3, 2024)",POSITIVE
Portuguese chemical company Bondalti launches €329 million takeover bid for Ercros  Cuatrecasas,"(8, 3, 2024)",NEGATIVE
Spain publishes the list of players for the match with Kosovo and others  KosovaPress,"(8, 3, 2024)",POSITIVE
Barcelona's Pau Cubarsí Called Up To Spain's Senior Squad  Inkl,"(15, 3, 2024)",POSITIVE
"Pau Cubarsi, the thunderbolt  French Football Weekly","(15, 3, 2024)",NEGATIVE
Colombia defeat disappointing Spain in friendly  FRANCE 24 English,"(22, 3, 2024)",NEGATIVE
Cubarsi gets 1st Spain call-up as De la Fuente assesses Euro 2024 options  theScore,"(15, 3, 2024)",POSITIVE
Cubarsí and Lamine do not 'change' a very weak Spain against Colombia (0-1)  FC Barcelona Noticias,"(22, 3, 2024)",NEGATIVE
Spain Squad Announced with Major Addition and Several Returns  beIN SPORTS,"(15, 3, 2024)",POSITIVE
Cubarsí's debut number with La Roja has been revealed  MUNDO DEPORTIVO,"(19, 3, 2024)",POSITIVE
Spain kick off 2024 with Colombia defeat in London  Football Espana,"(22, 3, 2024)",NEGATIVE
Football: Spain to play Colombia in London under shadow of corruption probe  IANS,"(21, 3, 2024)",NEGATIVE
Cubarsí gets the call from Luis de la Fuente!  MUNDO DEPORTIVO,"(15, 3, 2024)",POSITIVE
Liverpool's Luis Diaz guides Colombia with a 1-0 win against Yamal's Spain  El Futbolero USA,"(22, 3, 2024)",POSITIVE
"Pau Cubarsi, the thunderbolt  French Football Weekly","(15, 3, 2024)",NEGATIVE
"20 players confirmed for Spain’s Euro 2024 squad, three positions still to be decided  Football Espana","(27, 3, 2024)",POSITIVE
Colombia defeat disappointing Spain in friendly  FRANCE 24 English,"(22, 3, 2024)",NEGATIVE
Cubarsí and Lamine do not 'change' a very weak Spain against Colombia (0-1)  FC Barcelona Noticias,"(22, 3, 2024)",NEGATIVE
UEFA Euro 2024: Spain to play Colombia in London under shadow of corruption probe  The Sentinel Assam,"(23, 3, 2024)",NEGATIVE
"Spain vs Brazil Live Streaming: Schedule, Where to Watch, Predicted Playing XI  myKhel","(26, 3, 2024)",NEGATIVE
Spain kick off 2024 with Colombia defeat in London  Football Espana,"(22, 3, 2024)",NEGATIVE
Liverpool's Luis Diaz guides Colombia with a 1-0 win against Yamal's Spain  El Futbolero USA,"(22, 3, 2024)",POSITIVE
"Atlético 2-1 Villarreal (Apr 1, 2024) Game Analysis  ESPN","(1, 4, 2024)",POSITIVE
Villarreal CF - Atlético de Madrid: Sink or swim  Into The Calderon,"(1, 4, 2024)",NEGATIVE
Atletico Madrid down Villarreal at the death to return to top four against form side in La Liga  Football Espana,"(1, 4, 2024)",NEGATIVE
Villarreal vs Atletico Madrid: Preview and Prediction  The Hard Tackle,"(31, 3, 2024)",NEGATIVE
"Preview: Villarreal vs. Atletico Madrid - prediction, team news, lineups  Sports Mole","(30, 3, 2024)",NEGATIVE
"Atlético 2-1 Villarreal (Apr 1, 2024) Game Analysis  ESPN","(1, 4, 2024)",POSITIVE
"Friday's Transfer Talk Update: Vinicius Junior, Joao Felix, Gerard Moreno  Sports Mole","(5, 4, 2024)",NEGATIVE
Atletico Madrid down Villarreal at the death to return to top four against form side in La Liga  Football Espana,"(1, 4, 2024)",NEGATIVE
La Liga: Saul’s late goal against Villarreal sends Atletico Madrid to fourth  A Sports,"(2, 4, 2024)",POSITIVE
Barcelona manager Xavi Hernandez ‘in-love’ with playmaker  Football Espana,"(4, 4, 2024)",POSITIVE
Barcelona forced to discard another target due to price – Joao Felix a priority  Football Espana,"(4, 4, 2024)",NEGATIVE
Athletic Bilbao's top-four bid hit by Villarreal draw  FRANCE 24 English,"(14, 4, 2024)",POSITIVE
"Preview: Athletic Bilbao vs. Villarreal - prediction, team news, lineups  Sports Mole","(12, 4, 2024)",NEGATIVE
Spain publishes the list of players for the match with Kosovo and others  KosovaPress,"(9, 4, 2024)",POSITIVE
Top 20 Most Underrated Footballers In The World (2024)  Top Soccer Blog,"(15, 4, 2024)",POSITIVE
Right at the very end (1-2)!  Web Oficial del Villarreal CF,"(21, 4, 2024)",NEGATIVE
“Ramadan is part of my life”: Fasting Benzema says after hat-trick vs Chelsea  Sportsbrief,"(22, 4, 2024)",POSITIVE
Top 20 Most Underrated Footballers In The World (2024)  Top Soccer Blog,"(15, 4, 2024)",POSITIVE
Euro 2024 squad check-in: How the big contenders are looking  ESPN,"(25, 4, 2024)",POSITIVE
Villarreal vs Rayo Vallecano Prediction and Betting Tips | 28th April 2024  Sportskeeda,"(28, 4, 2024)",NEGATIVE
"Preview: Villarreal vs. Rayo Vallecano - prediction, team news, lineups  Sports Mole","(26, 4, 2024)",NEGATIVE
“Ramadan is part of my life”: Fasting Benzema says after hat-trick vs Chelsea  Sportsbrief,"(22, 4, 2024)",POSITIVE
’19-20 of Spain squad’ decided for Euros as Nacho Fernandez makes late bid for Germany trip  Football Espana,"(8, 5, 2024)",NEGATIVE
Mason Greenwood is rock-bottom among forwards in Europe's top five leagues for one key stat  SPORTbible,"(8, 5, 2024)",NEGATIVE
"Preview: Celta Vigo vs. Villarreal - prediction, team news, lineups  Sports Mole","(3, 5, 2024)",NEGATIVE
Man Utd could turn Hojlund into a monster by hiring 'Manager of the Year'  FootballFanCast.com,"(8, 5, 2024)",NEGATIVE
Celta Vigo vs Villarreal Preview & Prediction | 2023-24 Spanish Primera  The Stats Zone,"(2, 5, 2024)",POSITIVE
"Preview: Villarreal vs. Sevilla - prediction, team news, lineups  Sports Mole","(9, 5, 2024)",NEGATIVE
’19-20 of Spain squad’ decided for Euros as Nacho Fernandez makes late bid for Germany trip  Football Espana,"(8, 5, 2024)",NEGATIVE
Mason Greenwood is rock-bottom among forwards in Europe's top five leagues for one key stat  SPORTbible,"(8, 5, 2024)",NEGATIVE
Girona vs Villarreal: Preview and Prediction  The Hard Tackle,"(14, 5, 2024)",NEGATIVE
Top Players With The Most Goals In Serie A: The Complete La Liga Scorer List  zambianfootball.co.zm,"(11, 5, 2024)",POSITIVE
Man Utd could turn Hojlund into a monster by hiring 'Manager of the Year'  FootballFanCast.com,"(8, 5, 2024)",NEGATIVE
"Villarreal vs Real Madrid: Preview, Prediction & Betting Tips  Footy Accumulators","(13, 5, 2024)",POSITIVE
"Preview: Girona vs. Villarreal - prediction, team news, lineups  Sports Mole","(12, 5, 2024)",NEGATIVE
